Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/20/24, 10:00 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
33;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,806.25;10/6/24, 7:25 PM;$137.50;$2,100.00;-50.0;
34;_calendar_(1,728,256,800,000|1,160|1|0|up|up|0.5|0.5|nm|nm|0.2955|0.11);Buy to Open;1;50.0;$5,803.50;10/6/24, 7:25 PM;;$2,137.50;0.0;
35;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.25;10/6/24, 7:30 PM;$62.50;$2,125.00;-50.0;
36;_calendar_(1,728,257,100,000|1,165|1|0|up|dn|0.25|-0.75|nm|nm|0.1539|0.1621);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:30 PM;;$2,200.00;0.0;
37;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.75;10/6/24, 7:35 PM;$75.00;$2,225.00;-50.0;
38;_calendar_(1,728,257,400,000|1,170|1|0|dn|dn|-0.25|-2.25|nm|mv|0.2335|0.5322);Buy to Open;1;50.0;$5,803.25;10/6/24, 7:35 PM;;$2,275.00;0.0;
39;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 7:40 PM;$75.00;$2,325.00;-50.0;
40;_calendar_(1,728,257,700,000|1,175|1|0|dn|dn|-0.75|-1.5|nm|nm|0.7154|0.4297);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:40 PM;;$2,350.00;0.0;
41;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 7:45 PM;$75.00;$2,462.50;-50.0;
42;_calendar_(1,728,258,000,000|1,180|1|0|dn|dn|-1.25|-1.5|nm|nm|1.2815|0.7311);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:45 PM;;$2,425.00;0.0;
43;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.00;10/6/24, 7:50 PM;$125.00;$2,487.50;-50.0;
44;_calendar_(1,728,258,300,000|1,185|1|0|up|dn|0.5|-2|nm|nm|0.4966|1.0149);Buy to Open;1;50.0;$5,801.50;10/6/24, 7:50 PM;;$2,550.00;0.0;
45;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,803.00;10/6/24, 7:55 PM;$75.00;$2,600.00;-50.0;
46;_calendar_(1,728,258,600,000|1,190|1|0|dn|dn|-0.75|-5|nm|mv|1.143|2.5304);Buy to Open;1;50.0;$5,801.50;10/6/24, 7:55 PM;;$2,625.00;0.0;
47;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.00;10/6/24, 8:00 PM;$100.00;$2,812.50;-50.0;
48;_calendar_(1,728,258,900,000|1,195|1|0|dn|dn|-1.75|-5.5|mv|mv|2.8778|2.7794);Buy to Open;1;50.0;$5,802.00;10/6/24, 8:00 PM;;$2,725.00;0.0;
49;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,803.00;10/6/24, 8:05 PM;$200.00;$2,987.50;-50.0;
50;_calendar_(1,728,259,200,000|1,200|1|0|dn|dn|-2.5|-3.5|mv|mv|3.5052|1.8989);Buy to Open;1;50.0;$5,799.00;10/6/24, 8:05 PM;;$2,925.00;0.0;
51;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,800.25;10/6/24, 8:10 PM;$150.00;$3,112.50;-50.0;
52;_calendar_(1,728,259,500,000|1,205|1|0|dn|dn|-1.25|-1.75|nm|nm|1.3416|0.8339);Buy to Open;1;50.0;$5,797.25;10/6/24, 8:10 PM;;$3,075.00;0.0;
53;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.25;10/6/24, 8:15 PM;$100.00;$3,150.00;-50.0;
54;_calendar_(1,728,259,800,000|1,210|1|0|up|dn|0.25|-0.5|nm|nm|0.2716|0.2147);Buy to Open;1;50.0;$5,796.25;10/6/24, 8:15 PM;;$3,175.00;0.0;
55;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.00;10/6/24, 8:20 PM;$112.50;$3,275.00;-50.0;
