FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,YM_diff,NQ_diff
1728252000000,0.1596,0.0776,0.0561,0.0201,0.0093,0.1639,0.082,0.0719,0.0216,-0.0126,83.6735,9.4378,-4.5481,-10.2653,-0.0259,0.0248
1728252300000,0.0301,0.0949,0.0618,0.0252,0.0093,-0.1295,0.0906,0.0733,0.0316,-0.0126,92.3077,11.2434,1.916,6.4641,-0.0208,0.0057
1728252600000,0.0172,0.0237,0.069,0.0323,0.0108,-0.0129,-0.054,0.0733,0.0431,-0.0116,100,12.7787,2.2063,0.2902,-0.0219,0.0223
1728252900000,-0.0043,0.0065,0.0144,0.0352,0.0122,-0.0215,-0.0884,-0.0417,0.046,-0.0065,98.0769,11.307,3.1101,0.9038,-0.0027,-0.0056
1728253200000,-0.0344,-0.0194,-0.0072,0.0273,0.009,-0.0301,-0.0431,-0.069,0.0367,-0.0029,81.1321,5.7617,0.74,-2.3701,0.0063,-0.0075
1728253500000,0.0388,0.0022,0,0.0345,0.0122,0.0732,-0.0043,-0.069,0.0446,0.0011,98.1132,9.9991,1.8141,1.0742,-0.0224,0.0205
1728253800000,-0.0732,-0.0172,-0.023,-0.0043,0.0079,-0.1119,0.0021,-0.0373,-0.0244,0.0061,64.8148,-0.9434,-7.3083,-9.1225,0.038,-0.0219
1728254100000,0.0258,-0.0237,-0.0029,-0.005,0.0101,0.099,-0.0258,0.0043,-0.0302,0.0072,75.9259,2.0198,0.3858,7.6942,0.0046,0.031
1728254400000,0.0043,0.0151,-0.0143,-0.0072,0.0126,-0.0215,0.0323,-0.0143,-0.0395,0.0162,77.7778,1.712,3.9286,3.5428,-0.0113,0.0006
1728254700000,-0.0129,-0.0043,0.0057,-0.0086,0.0133,-0.0172,0.0194,0.0287,-0.0438,0.0158,71.6981,-1.1092,3.9947,0.0661,0.0176,-0.013
1728255000000,-0.0129,-0.0129,-0.0072,-0.005,0.0111,-0,-0.028,-0.0043,-0.0323,0.0155,66.0377,-3.8261,2.1992,-1.7956,0.0059,-0.0081
1728255300000,0.0215,0.0043,-0.0014,-0.0079,0.0133,0.0345,0.0086,0.0129,-0.0424,0.0194,61.7647,-2.1065,1.9696,-0.2295,-0.0005,0.013
1728255600000,0.0474,0.0345,0.0187,0.0122,0.0039,0.0258,0.0474,0.0129,0.0165,-0.0054,90.9091,4.1134,-1.4977,-3.4673,-0.0193,0.0292
1728255900000,-0.0172,0.0151,0.0172,0.005,0,-0.0646,0.0108,0.0244,0.01,-0.0093,72.7273,1.8519,1.7185,3.2162,0.0149,-0.0186
1728256200000,0.0086,-0.0043,0.0129,0.0057,-0.0007,0.0258,-0.0388,0.0144,0.0129,-0.0115,81.8182,3.2326,2.9662,1.2477,-0.0063,0.0173
1728256500000,-0.0129,-0.0022,-0.0072,0.0057,-0.0014,-0.0215,-0.0172,-0.0258,0.0144,-0.0137,68.1818,1.755,1.9371,-1.0291,-0.0011,-0.0056
1728256800000,-0.0431,-0.028,-0.0158,0.0007,-0.0022,-0.0301,-0.0237,-0.033,0.0057,-0.0111,22.7273,-3.7974,-2.8711,-4.8082,0.0243,-0.0298
1728257100000,0.0086,-0.0172,-0.0158,-0.0014,-0.0047,0.0517,-0.0151,-0.0287,0.0065,-0.0169,31.8182,-1.9231,3.9921,6.8632,-0.018,0.0124
1728257400000,0.0043,0.0065,-0.01,-0.0086,0.0018,-0.0043,0.0344,-0.0029,-0.0208,-0.0061,38.0952,-1.5779,2.9079,-1.0842,0.0121,-0.0179
1728257700000,-0.0043,0,0.0029,-0.0065,-0.0007,-0.0086,0.0172,0.0187,-0.0115,-0.0108,30,-2.3191,2.8977,-0.0102,-0.0051,0.0092
1728258000000,-0.0129,-0.0086,-0.0043,-0.01,-0.0022,-0.0086,-0.0151,0.0115,-0.0158,-0.0147,15,-3.8254,2.8977,0,0.0036,-0.0031
1728258300000,-0.0215,-0.0172,-0.0129,-0.0115,-0.0029,-0.0086,-0.0172,-0.0029,-0.0172,-0.0162,12,-6.4451,-1.4299,-4.3277,0.0098,-0.0229
