Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 10:20 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
27;_trend_(SellClose);Sell to Close;-1;-50.0;$5,300.50;5/24/24, 9:55 AM;$287.50;$2,825.00;-50.0;
28;_trend_(1,716,558,600,000,0.9991,0.4991,0.3329,0.1665,0.0833,1,0.4991,0.3328,0.1665,0.0833,6.1224,-55.2089,-6.1728,9.0516,0.0002,-0.0005);Buy to Open;1;50.0;$5,294.75;5/24/24, 9:55 AM;;$3,012.50;0.0;
29;_trend_(SellClose);Sell to Close;-1;-50.0;$5,299.25;5/24/24, 10:00 AM;$187.50;$2,750.00;-50.0;
30;_trend_(1,716,558,900,000,1.0006,0.4998,0.3329,0.1665,0.0833,1.0015,0.5,0.3329,0.1663,0.0833,30.6122,-28.5871,-0.6757,5.4971,-0.0005,0.0003);Buy to Open;1;50.0;$5,295.50;5/24/24, 10:00 AM;;$3,200.00;0.0;
31;_trend_(SellClose);Sell to Close;-1;-50.0;$5,309.50;5/24/24, 10:05 AM;$575.00;$3,450.00;-50.0;
32;_trend_(1,716,559,200,000,1.0011,0.5008,0.3336,0.1666,0.0834,1.0006,0.5017,0.3339,0.1665,0.0833,66.1017,6.774,-13.6657,-12.99,-0.0003,0.0006);Buy to Open;1;50.0;$5,298.00;5/24/24, 10:05 AM;;$3,775.00;0.0;
33;_trend_(SellClose);Sell to Close;-1;-50.0;$5,307.75;5/24/24, 10:10 AM;$287.50;$3,962.50;-50.0;
34;_trend_(1,716,559,500,000,1,0.5006,0.3339,0.1667,0.0834,0.9989,0.5007,0.3343,0.1667,0.0834,66.1017,6.1504,0.2373,13.903,-0.0003,0.0003);Buy to Open;1;50.0;$5,302.00;5/24/24, 10:10 AM;;$4,062.50;0.0;
35;_trend_(SellClose);Sell to Close;-1;-50.0;$5,308.00;5/24/24, 10:15 AM;$237.50;$4,050.00;-50.0;
36;_trend_(1,716,559,800,000,0.9999,0.5,0.3337,0.1666,0.0834,0.9999,0.4991,0.3341,0.1665,0.0834,62.7119,2.3012,2.4089,2.1716,-0.0004,0.0003);Buy to Open;1;50.0;$5,303.25;5/24/24, 10:15 AM;;$4,300.00;0.0;
37;_trend_(SellClose);Sell to Close;-1;-50.0;$5,308.75;5/24/24, 10:20 AM;$237.50;$4,237.50;-50.0;
38;_trend_(1,716,560,100,000,1.0008,0.5004,0.3336,0.1669,0.0835,1.0009,0.4998,0.3333,0.1669,0.0834,91.5254,27.7576,2.6587,0.2498,-0.0002,0.0005);Buy to Open;1;50.0;$5,304.00;5/24/24, 10:20 AM;;$4,537.50;0.0;
39;_trend_(SellClose);Sell to Close;-1;-50.0;$5,311.00;5/24/24, 10:25 AM;$237.50;$4,462.50;-50.0;
40;_trend_(1,716,560,400,000,1.0003,0.5006,0.3337,0.1671,0.0835,0.9995,0.5006,0.3331,0.1673,0.0834,93.8462,27.134,3.2361,0.5774,-0,-0.0002);Buy to Open;1;50.0;$5,306.25;5/24/24, 10:25 AM;;$4,775.00;0.0;
41;_trend_(SellClose);Sell to Close;-1;-50.0;$5,313.50;5/24/24, 10:30 AM;$225.00;$4,825.00;-50.0;
