Strategy report
Symbol: /ES:XCME
Work Time: 10/17/24, 6:05 PM - 10/22/24, 8:50 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
34;_calendar_(1,729,207,200,000|1,160|5|0|dn|up|0|0.75|nm|nm|0|0.4699);Buy to Open;1;50.0;$5,891.00;10/17/24, 7:25 PM;;$1,187.50;0.0;
35;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,892.00;10/17/24, 7:30 PM;$62.50;$1,200.00;-50.0;
36;_calendar_(1,729,207,500,000|1,165|5|0|up|dn|0.25|0|nm|nm|0.3638|0);Buy to Open;1;50.0;$5,890.75;10/17/24, 7:30 PM;;$1,250.00;0.0;
37;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,892.00;10/17/24, 7:35 PM;$25.00;$1,237.50;-50.0;
38;_calendar_(1,729,207,800,000|1,170|5|0|up|dn|0.5|-0.25|nm|nm|0.7485|0.1661);Buy to Open;1;50.0;$5,891.50;10/17/24, 7:35 PM;;$1,275.00;0.0;
39;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,892.50;10/17/24, 7:40 PM;$62.50;$1,325.00;-50.0;
40;_calendar_(1,729,208,100,000|1,175|5|0|dn|dn|-0.75|-0.5|nm|nm|1.5378|0.3442);Buy to Open;1;50.0;$5,891.25;10/17/24, 7:40 PM;;$1,337.50;0.0;
41;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,892.50;10/17/24, 7:45 PM;$75.00;$1,387.50;-50.0;
42;_calendar_(1,729,208,400,000|1,180|5|0|dn|up|0|0.25|nm|nm|0|0.1712);Buy to Open;1;50.0;$5,891.00;10/17/24, 7:45 PM;;$1,412.50;0.0;
43;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,891.75;10/17/24, 7:50 PM;$37.50;$1,412.50;-50.0;
44;_calendar_(1,729,208,700,000|1,185|5|0|up|dn|0.25|-0.75|nm|nm|0.636|0.5427);Buy to Open;1;50.0;$5,891.00;10/17/24, 7:50 PM;;$1,450.00;0.0;
45;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,892.00;10/17/24, 7:55 PM;$25.00;$1,462.50;-50.0;
46;_calendar_(1,729,209,000,000|1,190|5|0|dn|dn|0|-2.5|nm|mv|0|1.8526);Buy to Open;1;50.0;$5,891.50;10/17/24, 7:55 PM;;$1,475.00;0.0;
47;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,892.25;10/17/24, 8:00 PM;$37.50;$1,550.00;-50.0;
48;_calendar_(1,729,209,300,000|1,195|5|0|dn|dn|-1|-1|mv|nm|2.544|0.8027);Buy to Open;1;50.0;$5,891.50;10/17/24, 8:00 PM;;$1,512.50;0.0;
49;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,891.75;10/17/24, 8:05 PM;$87.50;$1,637.50;-50.0;
50;_calendar_(1,729,209,600,000|1,200|5|0|dn|dn|-1.5|-4.25|mv|mv|2.8111|3.744);Buy to Open;1;50.0;$5,890.00;10/17/24, 8:05 PM;;$1,600.00;0.0;
51;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,891.00;10/17/24, 8:10 PM;$112.50;$1,612.50;-50.0;
52;_calendar_(1,729,209,900,000|1,205|5|0|up|dn|1.5|-3.5|mv|mv|2.3842|3.3735);Buy to Open;1;50.0;$5,888.75;10/17/24, 8:10 PM;;$1,712.50;0.0;
53;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,891.00;10/17/24, 8:15 PM;$100.00;$1,937.50;-50.0;
54;_calendar_(1,729,210,200,000|1,210|5|0|dn|dn|-4.25|-11.25|mv|mv|4.4516|12.1166);Buy to Open;1;50.0;$5,889.00;10/17/24, 8:15 PM;;$1,812.50;0.0;
55;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,890.75;10/17/24, 8:20 PM;$225.00;$2,062.50;-50.0;
56;_calendar_(1,729,210,500,000|1,215|5|0|dn|dn|-0.75|-4.5|nm|mv|0.4165|3.634);Buy to Open;1;50.0;$5,886.25;10/17/24, 8:20 PM;;$2,037.50;0.0;
57;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,887.25;10/17/24, 8:25 PM;$125.00;$2,425.00;-50.0;
58;_calendar_(1,729,210,800,000|1,220|5|0|dn|dn|-6.25|-3.75|mv|mv|3.596|2.6978);Buy to Open;1;50.0;$5,884.75;10/17/24, 8:25 PM;;$2,162.50;0.0;
59;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,885.50;10/17/24, 8:30 PM;$412.50;$2,337.50;-50.0;
60;_calendar_(1,729,211,100,000|1,225|5|0|up|up|2.5|3.75|mv|mv|0.9911|1.3614);Buy to Open;1;50.0;$5,877.25;10/17/24, 8:30 PM;;$2,575.00;0.0;
61;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,882.75;10/17/24, 8:35 PM;$325.00;$2,612.50;-50.0;
62;_calendar_(1,729,211,400,000|1,230|5|0|dn|up|0|2|nm|mv|0|0.7037);Buy to Open;1;50.0;$5,876.25;10/17/24, 8:35 PM;;$2,900.00;0.0;
63;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,882.75;10/17/24, 8:40 PM;$75.00;$2,875.00;-50.0;
64;_calendar_(1,729,211,700,000|1,235|5|0|up|up|1.25|2.75|mv|mv|0.404|0.9544);Buy to Open;1;50.0;$5,881.25;10/17/24, 8:40 PM;;$2,975.00;0.0;
65;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,883.75;10/17/24, 8:45 PM;$100.00;$2,962.50;-50.0;
66;_calendar_(1,729,212,000,000|1,240|5|0|up|up|0.75|1|nm|nm|0.2452|0.3197);Buy to Open;1;50.0;$5,881.75;10/17/24, 8:45 PM;;$3,075.00;0.0;
67;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,884.25;10/17/24, 8:50 PM;$100.00;$3,050.00;-50.0;
68;_calendar_(1,729,212,300,000|1,245|5|0|up|dn|0.75|0|nm|nm|0.2681|0);Buy to Open;1;50.0;$5,882.25;10/17/24, 8:50 PM;;$3,175.00;0.0;
69;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,885.50;10/17/24, 8:55 PM;$62.50;$3,237.50;-50.0;
70;_calendar_(1,729,212,600,000|1,250|5|0|dn|dn|-0.5|0|nm|nm|0.1771|0);Buy to Open;1;50.0;$5,884.25;10/17/24, 8:55 PM;;$3,237.50;0.0;
71;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,885.50;10/17/24, 9:00 PM;$62.50;$3,312.50;-50.0;
