FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60
1729271400000,4907,6362.5,6470.6667,7579.6667,6401,-22.8762,-24.1655,-35.261,-23.3401,1.1421,12.2705,0.0001,0.0001,0.0002,0.0001,0.0002
1729271700000,8453,6680,7059.3333,8151.8333,6564.1667,26.5419,19.7422,3.6945,28.7749,13.1785,29.9722,0,0,0.0001,0.0001,0.0001
1729272000000,4321,6387,5893.6667,7236.1667,6571.9167,-32.347,-26.684,-40.2861,-34.2505,-22.9191,16.1613,-0.0003,-0.0001,-0.0001,-0,0.0001
1729272300000,6610,5465.5,6461.3333,6466,6757.3333,20.9404,2.3009,2.227,-2.1803,3.5965,21.9906,-0.0003,-0.0003,-0.0002,-0,0.0001
1729272600000,4768,5689,5233,6146.1667,6782,-16.1891,-8.8859,-22.4232,-29.6963,-4.231,-14.751,0.0005,0,-0.0001,0,0.0001
1729272900000,2563,3665.5,4647,5270.3333,6516.75,-30.0778,-44.8461,-51.3693,-60.6706,-12.385,-11.4608,0.0001,0.0003,0,-0,0.0001
1729273200000,3402,2982.5,3577.6667,5019.5,6299.5833,14.0654,-4.9101,-32.2243,-45.9964,10.733,-40.7958,0.0001,0.0001,0.0003,-0,0
1729273500000,3643,3522.5,3202.6667,4217.8333,6184.8333,3.4209,13.749,-13.6286,-41.0978,12.4245,-30.6398,-0.0003,-0.0001,-0.0001,-0.0001,0
1729273800000,3979,3811,3674.6667,4160.8333,5698.5,4.4083,8.2819,-4.3701,-30.1746,11.0538,15.7567,-0.0005,-0.0004,-0.0003,-0.0001,-0.0001
1729274100000,4664,4321.5,4095.3333,3836.5,5151.25,7.9255,13.8857,21.5691,-9.4589,14.604,27.1278,0,-0.0002,-0.0003,-0,-0
1729274400000,15728,10196,8123.6667,5663.1667,5904.6667,54.2566,93.6072,177.7245,166.3656,69.149,-24.1085,0.0001,0,-0,-0.0001,-0
1729274700000,4298,10013,8230,5952.3333,5611.3333,-57.0758,-47.7764,-27.793,-23.405,-8.5051,2.3902,0.0002,0.0001,0.0001,-0,-0
1729275000000,5883,5090.5,8636.3333,6365.8333,5692.6667,15.5682,-31.8808,-7.5848,3.3435,-7.5267,-0.9836,0.0004,0.0003,0.0002,0,0
1729275300000,5144,5513.5,5108.3333,6616,5416.9167,-6.7017,0.6982,-22.2491,-5.0382,-8.2056,-10.3176,0.0003,0.0004,0.0003,0.0001,0
1729275600000,4170,4657,5065.6667,6647.8333,5404.3333,-10.4574,-17.6811,-37.2728,-22.8397,1.8306,-14.213,0,0.0002,0.0003,0.0001,0.0001
1729275900000,9028,6599,6114,7375.1667,5605.8333,36.8086,47.6611,22.4108,61.0465,16.1142,-3.4072,0,0,0.0001,0.0001,0.0001
1729276200000,7206,8117,6801.3333,5954.8333,5809,-11.2234,5.9498,21.0109,24.0489,3.1349,13.8746,-0.0003,-0.0001,-0.0001,0.0001,0
1729276500000,4622,5914,6952,6008.8333,5980.5833,-21.8465,-33.5155,-23.0799,-22.7166,5.2071,31.6835,-0.0001,-0.0002,-0.0001,0,0
1729276800000,4395,4508.5,5407.6667,5760.8333,6063.3333,-2.5175,-18.7265,-23.709,-27.5151,-7.1002,25.552,0.0002,0.0001,-0.0001,-0,0
1729277100000,3164,3779.5,4060.3333,5430.8333,6023.4167,-16.2852,-22.0754,-41.7401,-47.4717,-15.4846,19.1902,-0.0001,0.0001,0,-0.0001,0
1729277400000,5137,4150.5,4232,5592,6119.9167,23.7682,21.3847,-8.1366,-16.0609,-18.4862,18.5411,-0.0003,-0.0002,-0.0001,-0.0001,0
1729277700000,4802,4969.5,4367.6667,4887.6667,6131.4167,-3.3706,9.9443,-1.7527,-21.682,13.5434,22.7777,0.0001,-0.0001,-0.0001,-0.0001,0
1729278000000,13042,8922,7660.3333,5860.3333,5907.5833,46.178,70.2537,122.5471,120.7671,62.1505,-1.9711,-0.0002,-0.0001,-0.0002,-0.0001,-0
1729278300000,5230,9136,7691.3333,5961.6667,5985.25,-42.7539,-32.0014,-12.2729,-12.6185,-24.3073,-11.812,0.0001,-0.0001,-0.0001,-0.0001,-0
1729278600000,4011,4620.5,7427.6667,5897.6667,5829.25,-13.1912,-45.9992,-31.9901,-31.1918,0.0663,2.0037,0.0002,0.0002,-0.0001,-0.0001,-0
1729278900000,4976,4493.5,4739,6199.6667,5815.25,10.7377,5.0011,-19.7376,-14.4319,2.4671,-6.5411,-0.0004,-0.0001,-0,-0.0001,-0.0001
1729279200000,7555,6265.5,5514,6602.6667,6097.3333,20.581,37.0149,14.4235,23.9066,17.4401,-27.5992,-0.0002,-0.0003,-0.0002,-0.0001,-0.0001
1729279500000,5351,6453,5960.6667,6694.1667,5790.9167,-17.0773,-10.2282,-20.0647,-7.5967,-31.7504,0.136,0.0003,-0,-0.0001,-0.0001,-0.0001
1729279800000,5543,5447,6149.6667,5444.3333,5652.3333,1.7624,-9.865,1.8123,-1.9343,3.2922,7.894,-0.0004,-0,-0.0001,-0.0001,-0.0001
1729280100000,5356,5449.5,5416.6667,5465.3333,5713.5,-1.7158,-1.12,-2.0005,-6.2571,-11.6519,-19.5913,0.0001,-0.0001,0,-0.0001,-0.0001
1729280400000,8415,6885.5,6438,6199.3333,6048.5,22.2133,30.7083,35.7404,39.1254,1.0715,30.9576,-0.0001,-0,-0.0001,-0.0001,-0.0001
1729280700000,7469,7942,7080,6614.8333,6407.25,-5.9557,5.4944,12.9129,16.5711,-8.3701,4.1598,-0,-0.0001,-0,-0.0001,-0.0001
1729281000000,11927,9698,9270.3333,7343.5,6973.0833,22.9841,28.6577,62.4157,71.0434,-31.4439,-53.0686,0.0003,0.0002,0.0001,0.0001,-0
1729281300000,60306,36116.5,26567.3333,16502.6667,11598.4167,66.9763,126.993,265.4318,419.9503,113.8466,73.3235,-0,0,0,0,-0
1729281600000,25131,42718.5,32454.6667,19767.3333,12605.8333,-41.1707,-22.5658,27.134,99.3601,23.7392,52.6012,0.0001,0,0,0,0
1729281900000,6792,15961.5,30743,20006.6667,12736,-57.4476,-77.9072,-66.0513,-46.6709,-18.6863,-13.0478,-0.0001,0,0,0,0
