Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/9/24, 1:05 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
38;_calendar_(1,728,257,400,000|1,170|1|0|up|mv);Buy to Open;1;50.0;$5,803.25;10/6/24, 7:35 PM;;$2,275.00;0.0;
39;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 7:40 PM;$75.00;$2,325.00;-50.0;
40;_calendar_(1,728,257,700,000|1,175|1|0|dn|nm);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:40 PM;;$2,350.00;0.0;
41;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 7:45 PM;$75.00;$2,462.50;-50.0;
42;_calendar_(1,728,258,000,000|1,180|1|0|dn|nm);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:45 PM;;$2,425.00;0.0;
43;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.00;10/6/24, 7:50 PM;$125.00;$2,487.50;-50.0;
44;_calendar_(1,728,258,300,000|1,185|1|0|dn|nm);Buy to Open;1;50.0;$5,801.50;10/6/24, 7:50 PM;;$2,550.00;0.0;
45;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,803.00;10/6/24, 7:55 PM;$75.00;$2,600.00;-50.0;
46;_calendar_(1,728,258,600,000|1,190|1|0|up|mv);Buy to Open;1;50.0;$5,801.50;10/6/24, 7:55 PM;;$2,625.00;0.0;
47;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.00;10/6/24, 8:00 PM;$100.00;$2,812.50;-50.0;
48;_calendar_(1,728,258,900,000|1,195|1|0|dn|mv);Buy to Open;1;50.0;$5,802.00;10/6/24, 8:00 PM;;$2,725.00;0.0;
49;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,803.00;10/6/24, 8:05 PM;$200.00;$2,987.50;-50.0;
50;_calendar_(1,728,259,200,000|1,200|1|0|dn|mv);Buy to Open;1;50.0;$5,799.00;10/6/24, 8:05 PM;;$2,925.00;0.0;
51;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,800.25;10/6/24, 8:10 PM;$150.00;$3,112.50;-50.0;
52;_calendar_(1,728,259,500,000|1,205|1|0|dn|nm);Buy to Open;1;50.0;$5,797.25;10/6/24, 8:10 PM;;$3,075.00;0.0;
