FT,ToD,DoW,MO,DIR,MOVE
1728305100000,525,1,1,dn,mv
1728305400000,530,1,1,dn,mv
1728305700000,535,1,1,dn,mv
1728306000000,540,1,1,dn,mv
1728306300000,545,1,1,up,nm
1728306600000,550,1,1,dn,mv
1728306900000,555,1,1,dn,mv
1728307200000,560,1,1,up,mv
1728307500000,565,1,1,up,mv
1728307800000,570,1,1,dn,nm
1728308100000,575,1,1,up,mv
1728308400000,580,1,1,dn,mv
1728308700000,585,1,1,up,mv
1728309000000,590,1,1,dn,mv
1728309300000,595,1,1,dn,mv
1728309600000,600,1,1,up,mv
1728309900000,605,1,1,dn,mv
1728310200000,610,1,1,up,nm
1728310500000,615,1,1,up,mv
1728310800000,620,1,1,dn,mv
1728311100000,625,1,1,dn,mv
1728311400000,630,1,1,up,mv
1728311700000,635,1,1,dn,nm
1728312000000,640,1,1,dn,mv
1728312300000,645,1,1,up,mv
1728312600000,650,1,1,up,mv
1728312900000,655,1,1,dn,mv
1728313200000,660,1,1,dn,mv
1728313500000,665,1,1,up,mv
1728313800000,670,1,1,up,nm
1728314100000,675,1,1,up,nm
1728314400000,680,1,1,up,mv
1728314700000,685,1,1,dn,mv
1728315000000,690,1,1,up,mv
1728315300000,695,1,1,dn,nm
1728315600000,700,1,1,dn,mv
1728315900000,705,1,1,up,mv
1728316200000,710,1,1,dn,mv
1728316500000,715,1,1,dn,mv
1728316800000,720,1,1,dn,nm
1728317100000,725,1,1,dn,mv
1728317400000,730,1,1,up,nm
1728317700000,735,1,1,up,mv
1728318000000,740,1,1,up,mv
1728318300000,745,1,1,dn,mv
1728318600000,750,1,1,dn,nm
1728318900000,755,1,1,dn,nm
1728319200000,760,1,1,dn,nm
1728319500000,765,1,1,up,mv
1728319800000,770,1,1,dn,mv
1728320100000,775,1,1,up,mv
1728320400000,780,1,1,up,nm
1728320700000,785,1,1,dn,mv
1728321000000,790,1,1,dn,mv
1728321300000,795,1,1,up,mv
1728321600000,800,1,1,dn,mv
1728321900000,805,1,1,dn,nm
1728322200000,810,1,1,dn,mv
1728322500000,815,1,1,dn,nm
1728322800000,820,1,1,dn,nm
1728323100000,825,1,1,dn,mv
1728323400000,830,1,1,up,mv
1728323700000,835,1,1,up,mv
1728324000000,840,1,1,dn,nm
1728324300000,845,1,1,up,nm
1728324600000,850,1,1,up,mv
1728324900000,855,1,1,dn,mv
1728325200000,860,1,1,dn,mv
1728325500000,865,1,1,dn,mv
1728325800000,870,1,1,dn,mv
1728326100000,875,1,1,dn,mv
1728326400000,880,1,1,dn,mv
1728326700000,885,1,1,dn,nm
1728327000000,890,1,1,up,mv
1728327300000,895,1,1,dn,mv
1728327600000,900,1,1,up,mv
1728327900000,905,1,1,up,nm
1728328200000,910,1,1,dn,nm
1728328500000,915,1,1,up,mv
1728328800000,920,1,1,up,mv
1728329100000,925,1,1,dn,mv
1728329400000,930,1,1,dn,nm
1728329700000,935,1,1,up,mv
1728330000000,940,1,1,dn,mv
1728330300000,945,1,0,up,mv
1728330600000,950,1,0,up,nm
1728330900000,955,1,0,dn,nm
1728331200000,960,1,0,up,nm
1728331500000,965,1,0,up,nm
1728331800000,970,1,0,up,nm
1728332100000,975,1,0,up,nm
1728332400000,980,1,0,dn,nm
1728332700000,985,1,0,dn,nm
1728333000000,990,1,0,up,nm
1728333300000,995,1,0,up,nm
1728333600000,1000,1,0,dn,nm
1728333900000,1005,1,0,dn,nm
1728334200000,1010,1,0,up,nm
1728334500000,1015,1,0,dn,nm
1728338400000,1080,2,0,dn,nm
1728338700000,1085,2,0,dn,nm
1728339000000,1090,2,0,up,nm
1728339300000,1095,2,0,dn,mv
1728339600000,1100,2,0,dn,mv
1728339900000,1105,2,0,dn,mv
1728340200000,1110,2,0,dn,mv
1728340500000,1115,2,0,up,nm
1728340800000,1120,2,0,up,nm
1728341100000,1125,2,0,dn,nm
1728341400000,1130,2,0,dn,mv
1728341700000,1135,2,0,up,nm
1728342000000,1140,2,0,up,mv
1728342300000,1145,2,0,up,nm
1728342600000,1150,2,0,dn,nm
1728342900000,1155,2,0,up,mv
1728343200000,1160,2,0,dn,nm
1728343500000,1165,2,0,dn,nm
1728343800000,1170,2,0,dn,nm
1728344100000,1175,2,0,dn,mv
1728344400000,1180,2,0,up,nm
1728344700000,1185,2,0,up,mv
1728345000000,1190,2,0,up,mv
1728345300000,1195,2,0,dn,mv
1728345600000,1200,2,0,up,mv
1728345900000,1205,2,0,up,nm
1728346200000,1210,2,0,up,nm
1728346500000,1215,2,0,dn,nm
1728346800000,1220,2,0,dn,nm
1728347100000,1225,2,0,up,nm
1728347400000,1230,2,0,up,nm
1728347700000,1235,2,0,dn,nm
1728348000000,1240,2,0,dn,nm
1728348300000,1245,2,0,up,nm
1728348600000,1250,2,0,dn,mv
1728348900000,1255,2,0,dn,mv
1728349200000,1260,2,0,up,mv
1728349500000,1265,2,0,dn,mv
1728349800000,1270,2,0,dn,mv
1728350100000,1275,2,0,dn,nm
1728350400000,1280,2,0,up,mv
1728350700000,1285,2,0,up,mv
1728351000000,1290,2,0,dn,mv
1728351300000,1295,2,0,up,mv
1728351600000,1300,2,0,dn,mv
1728351900000,1305,2,0,up,mv
1728352200000,1310,2,0,dn,nm
1728352500000,1315,2,0,dn,mv
1728352800000,1320,2,0,dn,nm
1728353100000,1325,2,0,up,nm
1728353400000,1330,2,0,dn,nm
1728353700000,1335,2,0,up,mv
1728354000000,1340,2,0,dn,nm
1728354300000,1345,2,0,dn,mv
1728354600000,1350,2,0,dn,mv
1728354900000,1355,2,0,up,mv
1728355200000,1360,2,0,up,nm
1728355500000,1365,2,0,dn,nm
1728355800000,1370,2,0,up,nm
1728356100000,1375,2,0,dn,nm
1728356400000,1380,2,0,dn,nm
1728356700000,1385,2,0,up,nm
1728357000000,1390,2,0,dn,mv
1728357300000,1395,2,0,dn,nm
1728357600000,1400,2,0,up,nm
1728357900000,1405,2,0,dn,nm
1728358200000,1410,2,0,dn,nm
