Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/9/24, 1:05 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
27;_participation_;Sell to Close;-1;-50.0;$5,807.75;10/6/24, 7:10 PM;$75.00;$1,825.00;-50.0;
28;_participation_(1,728,255,900,000|492|707|578.3333|501.1667|665.9167|-30.4102|-14.928|-1.8291|-26.1169|0.8344|44.3451|-0.002|0.0012|0.0017|0.0006|0);Buy to Open;1;50.0;$5,806.25;10/6/24, 7:10 PM;;$1,862.50;0.0;
29;_participation_;Sell to Close;-1;-50.0;$5,807.50;10/6/24, 7:15 PM;$62.50;$1,925.00;-50.0;
30;_participation_(1,728,256,200,000|258|375|557.3333|474.8333|614.4167|-31.2|-53.7081|-45.6651|-58.009|-2.3668|21.8508|0.0019|-0.0007|0.0013|0.0007|-0.0001);Buy to Open;1;50.0;$5,806.25;10/6/24, 7:15 PM;;$1,925.00;0.0;
31;_participation_;Sell to Close;-1;-50.0;$5,807.00;10/6/24, 7:20 PM;$75.00;$2,087.50;-50.0;
32;_participation_(1,728,256,500,000|266|262|338.6667|453.8333|554.4167|1.5267|-21.4567|-41.3882|-52.0216|8.1301|23.6604|-0.0028|-0.0005|-0.0012|0.0007|-0.0002);Buy to Open;1;50.0;$5,805.50;10/6/24, 7:20 PM;;$2,000.00;0.0;
33;_participation_;Sell to Close;-1;-50.0;$5,806.25;10/6/24, 7:25 PM;$137.50;$2,100.00;-50.0;
34;_participation_(1,728,256,800,000|387|326.5|303.6667|441|540.9167|18.5299|27.4424|-12.2449|-28.4548|-55.2889|23.1086|-0.0065|-0.005|-0.003|0.0001|-0.0002);Buy to Open;1;50.0;$5,803.50;10/6/24, 7:25 PM;;$2,137.50;0.0;
35;_participation_;Sell to Close;-1;-50.0;$5,804.25;10/6/24, 7:30 PM;$62.50;$2,125.00;-50.0;
36;_participation_(1,728,257,100,000|334|360.5|329|443.1667|537.5|-7.3509|1.5198|-24.6333|-37.8605|-33.9979|-2.3119|0.0015|-0.0028|-0.0028|-0.0002|-0.0005);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:30 PM;;$2,200.00;0.0;
37;_participation_;Sell to Close;-1;-50.0;$5,804.75;10/6/24, 7:35 PM;$75.00;$2,225.00;-50.0;
38;_participation_(1,728,257,400,000|296|315|339|338.8333|439.3333|-6.0317|-12.6844|-12.6414|-32.6252|-0.2999|-9.4156|0.0008|0.0012|-0.0017|-0.0015|0.0002);Buy to Open;1;50.0;$5,803.25;10/6/24, 7:35 PM;;$2,275.00;0.0;
39;_participation_;Sell to Close;-1;-50.0;$5,804.50;10/6/24, 7:40 PM;$75.00;$2,325.00;-50.0;
40;_participation_(1,728,257,700,000|195|245.5|275|289.3333|395.25|-20.5703|-29.0909|-32.6037|-50.6641|-0.0875|-6.5167|-0.0013|0|0.0006|-0.0013|-0.0001);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:40 PM;;$2,350.00;0.0;
41;_participation_;Sell to Close;-1;-50.0;$5,804.50;10/6/24, 7:45 PM;$75.00;$2,462.50;-50.0;
42;_participation_(1,728,258,000,000|260|227.5|250.3333|289.6667|382.25|14.2857|3.8615|-10.2417|-31.9817|27.8397|-9.552|-0.0029|-0.0022|-0.001|-0.002|-0.0003);Buy to Open;1;50.0;$5,803.00;10/6/24, 7:45 PM;;$2,425.00;0.0;
43;_participation_;Sell to Close;-1;-50.0;$5,804.00;10/6/24, 7:50 PM;$125.00;$2,487.50;-50.0;
44;_participation_(1,728,258,300,000|600|430|351.6667|345.3333|399.5833|39.5349|70.6161|73.7452|50.1564|-12.8625|-0.5565|-0.0021|-0.0023|-0.0021|-0.0019|-0.0004);Buy to Open;1;50.0;$5,801.50;10/6/24, 7:50 PM;;$2,550.00;0.0;
45;_participation_;Sell to Close;-1;-50.0;$5,803.00;10/6/24, 7:55 PM;$75.00;$2,600.00;-50.0;
46;_participation_(1,728,258,600,000|237|418.5|365.6667|320.3333|380.6667|-43.3692|-35.1869|-26.0146|-37.7408|-11.9378|-27.7095|0.0021|-0.0009|-0.0014|-0.0005|-0.0002);Buy to Open;1;50.0;$5,801.50;10/6/24, 7:55 PM;;$2,625.00;0.0;
47;_participation_;Sell to Close;-1;-50.0;$5,804.00;10/6/24, 8:00 PM;$100.00;$2,812.50;-50.0;
48;_participation_(1,728,258,900,000|486|361.5|441|345.6667|394.4167|34.4398|10.2041|40.5979|23.2199|31.2015|62.9508|-0.0015|-0.0003|-0.0011|-0.0011|-0.0006);Buy to Open;1;50.0;$5,802.00;10/6/24, 8:00 PM;;$2,725.00;0.0;
49;_participation_;Sell to Close;-1;-50.0;$5,803.00;10/6/24, 8:05 PM;$200.00;$2,987.50;-50.0;
