Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 11:05 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
27;_participation_;Sell to Close;-1;-50.0;$5,300.50;5/24/24, 9:55 AM;$287.50;$2,825.00;-50.0;
28;_participation_(1,716,558,600,000,22,735,24,310.5,22,661.3333,22,594,12,651.25,0.9352,1.0033,1.0062,1.7971,0.0258,0.146,N/A,-0.0002,-0.0002,-0.0001,-0,-0);Buy to Open;1;50.0;$5,294.75;5/24/24, 9:55 AM;;$3,012.50;0.0;
29;_participation_;Sell to Close;-1;-50.0;$5,299.25;5/24/24, 10:00 AM;$187.50;$2,750.00;-50.0;
30;_participation_(1,716,558,900,000,11,611,17,173,20,077.3333,23,134,13,434.3333,0.6761,0.5783,0.5019,0.8643,-0.0776,0.0159,N/A,0.0003,-0.0001,-0.0001,-0,-0);Buy to Open;1;50.0;$5,295.50;5/24/24, 10:00 AM;;$3,200.00;0.0;
31;_participation_;Sell to Close;-1;-50.0;$5,309.50;5/24/24, 10:05 AM;$575.00;$3,450.00;-50.0;
32;_participation_(1,716,559,200,000,37,979,24,795,24,108.3333,23,414.8333,16,249.25,1.5317,1.5753,1.622,2.3373,0.0548,0.0048,N/A,0.0002,0.0002,0.0001,-0,0);Buy to Open;1;50.0;$5,298.00;5/24/24, 10:05 AM;;$3,775.00;0.0;
33;_participation_;Sell to Close;-1;-50.0;$5,307.75;5/24/24, 10:10 AM;$287.50;$3,962.50;-50.0;
34;_participation_(1,716,559,500,000,18,942,28,460.5,22,844,22,752.6667,17,602.5833,0.6656,0.8292,0.8325,1.0761,-0.0446,-0.0264,N/A,0,0.0001,0.0001,0,0);Buy to Open;1;50.0;$5,302.00;5/24/24, 10:10 AM;;$4,062.50;0.0;
35;_participation_;Sell to Close;-1;-50.0;$5,308.00;5/24/24, 10:15 AM;$237.50;$4,050.00;-50.0;
36;_participation_(1,716,559,800,000,16,777,17,859.5,24,566,22,321.6667,18,838.5,0.9394,0.6829,0.7516,0.8906,0.064,-0.1004,N/A,-0,-0,0.0001,-0,0);Buy to Open;1;50.0;$5,303.25;5/24/24, 10:15 AM;;$4,300.00;0.0;
37;_participation_;Sell to Close;-1;-50.0;$5,308.75;5/24/24, 10:20 AM;$237.50;$4,237.50;-50.0;
