FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1729212900000,1255,5,0,dn,dn,-0.25,0,nm,nm,0.2629,0
1729213200000,1260,5,0,up,dn,0.75,-0.25,nm,nm,1.2027,0.0749
1729213500000,1265,5,0,dn,dn,-0.5,-1,nm,nm,0.8072,0.3016
1729213800000,1270,5,0,dn,up,-0.5,0.5,nm,nm,0.8485,0.1508
1729214100000,1275,5,0,dn,dn,0,-0.25,nm,nm,0,0.0754
1729214400000,1280,5,0,up,up,1,1,mv,nm,2.2283,0.302
1729214700000,1285,5,0,dn,up,-1.25,3,mv,mv,2.1213,0.9041
1729215000000,1290,5,0,up,up,1.25,4.75,mv,mv,1.6175,1.4288
1729215300000,1295,5,0,up,up,3,2.75,mv,mv,3.417,0.8216
1729215600000,1300,5,0,up,dn,0.5,-0.5,nm,nm,0.3638,0.144
1729215900000,1305,5,0,dn,dn,-0.75,-2,nm,mv,0.5809,0.5573
1729216200000,1310,5,0,dn,dn,-0.25,-0.5,nm,nm,0.1798,0.1402
1729216500000,1315,5,0,dn,dn,-1,-2,mv,mv,0.7083,0.8676
1729216800000,1320,5,0,up,dn,0.75,-1.25,nm,nm,0.5495,0.6086
1729217100000,1325,5,0,dn,dn,-1.75,-1,mv,nm,1.317,0.5641
1729217400000,1330,5,0,dn,up,-0.25,1.25,nm,nm,0.29,0.7117
1729217700000,1335,5,0,up,up,1,3.25,mv,mv,1.2997,1.8333
1729218000000,1340,5,0,up,up,0.5,2.5,nm,mv,0.5283,1.463
1729218300000,1345,5,0,up,up,1.75,0.75,mv,nm,1.7732,0.4371
1729218600000,1350,5,0,up,dn,0.25,-2,nm,mv,0.2261,1.0833
1729218900000,1355,5,0,dn,dn,-1.25,-2.25,mv,mv,1.1471,1.1831
1729219200000,1360,5,0,dn,dn,-1,-0.75,mv,nm,1.0607,0.3954
1729219500000,1365,5,0,dn,up,0,1.5,nm,mv,0,0.7569
1729219800000,1370,5,0,up,up,0.25,0.75,nm,nm,0.2515,0.3651
1729220100000,1375,5,0,up,dn,1.25,-0.25,mv,nm,1.2769,0.1207
1729220400000,1380,5,0,dn,dn,-0.75,-1.25,nm,nm,0.8955,0.6005
1729220700000,1385,5,0,dn,dn,-0.75,0,nm,nm,0.8783,0
1729221000000,1390,5,0,up,up,0.25,0.75,nm,nm,0.3235,0.377
1729221300000,1395,5,0,up,dn,0.5,0,nm,nm,0.7317,0
1729221600000,1400,5,0,dn,dn,0,-2.25,nm,mv,0,1.451
1729221900000,1405,5,0,dn,dn,-0.5,-1.75,nm,mv,0.7121,1.119
1729222200000,1410,5,0,dn,dn,-1.75,-1,mv,nm,3.5883,0.6678
1729222500000,1415,5,0,up,dn,0.5,-1.5,nm,mv,0.6698,0.9497
1729222800000,1420,5,0,up,dn,0.25,-1,nm,nm,0.318,0.6394
1729223100000,1425,5,0,dn,dn,-2.25,-2,mv,mv,2.862,1.2863
1729223400000,1430,5,0,up,up,1,0.75,mv,nm,0.9725,0.4762
1729223700000,1435,5,0,dn,dn,-0.75,0,nm,nm,0.6328,0
1729224000000,0,5,0,up,up,0.5,1.25,nm,nm,0.4201,0.9298
1729224300000,5,5,0,up,up,0.25,1.75,nm,mv,0.2299,1.4916
1729224600000,10,5,0,up,up,0.5,0.25,nm,nm,0.4685,0.2201
1729224900000,15,5,0,up,up,1,1,mv,nm,0.9197,0.855
1729225200000,20,5,0,dn,dn,-1.25,0,mv,nm,2.1213,0
1729225500000,25,5,0,up,up,1.25,1.5,mv,mv,1.5967,1.2545
1729225800000,30,5,0,dn,up,0,0.5,nm,nm,0,0.4308
1729226100000,35,5,0,up,up,0.25,0.25,nm,nm,0.309,0.2198
