FT,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,volNQdiff,volYMdiff,vpm5,vpm10,vpm15,vpm30,vpm60
1728252000000,5017,6176,4438,3881.3333,3245.5,-18.7662,13.0464,29.2597,54.5833,-116.3397,-96.8531,0.0018,0.0007,0.0007,0.0003,0.0002
1728252300000,1096,3056.5,4482.6667,3913.5,2962.5833,-64.142,-75.5503,-71.9944,-63.0053,-34.3997,-9.5341,0.0016,0.0018,0.0008,0.0004,0.0002
1728252600000,876,986,2329.6667,3259.8333,2631.5,-11.1562,-62.3981,-73.1275,-66.711,-39.87,-39.2638,0.0011,0.0014,0.0017,0.0006,0.0002
1728252900000,986,931,986,2712,2538.1667,5.9076,0,-63.6431,-61.1531,-31.4285,-69.6776,-0.0003,0.0004,0.0008,0.0008,0.0003
1728253200000,549,767.5,803.6667,2643.1667,2454.5833,-28.4691,-31.6881,-79.2295,-77.6337,-25.7309,-29.1156,-0.0036,-0.0015,-0.0005,0.0006,0.0002
1728253500000,375,462,636.6667,1483.1667,2380,-18.8312,-41.0995,-74.7163,-84.2437,-20.7613,-7.6833,0.006,0.0003,0,0.0013,0.0003
1728253800000,1474,924.5,799.3333,892.6667,2387,59.4375,84.4037,65.1232,-38.2488,-49.566,75.4145,-0.0029,-0.0011,-0.0017,-0.0003,0.0002
1728254100000,724,1099,857.6667,830.6667,2372.0833,-34.1219,-15.5849,-12.8411,-69.4783,8.7062,-27.7347,0.0021,-0.0013,-0.0002,-0.0004,0.0002
1728254400000,416,570,871.3333,754,2006.9167,-27.0175,-52.2571,-44.8276,-79.2717,15.668,-34.4451,0.0006,0.0015,-0.001,-0.0006,0.0004
1728254700000,392,404,510.6667,655,1683.5,-2.9703,-23.2376,-40.1527,-76.7152,14.2568,26.0238,-0.0019,-0.0006,0.0007,-0.0008,0.0005
1728255000000,464,428,424,640.8333,1642,8.4112,9.434,-27.5943,-71.7418,6.0861,2.7487,-0.0016,-0.0018,-0.001,-0.0005,0.0004
1728255300000,321,392.5,392.3333,631.8333,1057.5,-18.2166,-18.1818,-49.1955,-69.6454,-2.5233,-89.5624,0.0039,0.0006,-0.0002,-0.0007,0.0007
1728255600000,922,621.5,569,539.8333,716.25,48.3508,62.0387,70.7935,28.726,-1.2088,46.2901,0.003,0.0032,0.0019,0.0013,0.0003
1728255900000,492,707,578.3333,501.1667,665.9167,-30.4102,-14.928,-1.8291,-26.1169,0.8344,44.3451,-0.002,0.0012,0.0017,0.0006,0
1728256200000,258,375,557.3333,474.8333,614.4167,-31.2,-53.7081,-45.6651,-58.009,-2.3668,21.8508,0.0019,-0.0007,0.0013,0.0007,-0.0001
1728256500000,266,262,338.6667,453.8333,554.4167,1.5267,-21.4567,-41.3882,-52.0216,8.1301,23.6604,-0.0028,-0.0005,-0.0012,0.0007,-0.0002
1728256800000,387,326.5,303.6667,441,540.9167,18.5299,27.4424,-12.2449,-28.4548,-55.2889,23.1086,-0.0065,-0.005,-0.003,0.0001,-0.0002
1728257100000,334,360.5,329,443.1667,537.5,-7.3509,1.5198,-24.6333,-37.8605,-33.9979,-2.3119,0.0015,-0.0028,-0.0028,-0.0002,-0.0005
1728257400000,296,315,339,338.8333,439.3333,-6.0317,-12.6844,-12.6414,-32.6252,-0.2999,-9.4156,0.0008,0.0012,-0.0017,-0.0015,0.0002
1728257700000,195,245.5,275,289.3333,395.25,-20.5703,-29.0909,-32.6037,-50.6641,-0.0875,-6.5167,-0.0013,0,0.0006,-0.0013,-0.0001
1728258000000,260,227.5,250.3333,289.6667,382.25,14.2857,3.8615,-10.2417,-31.9817,27.8397,-9.552,-0.0029,-0.0022,-0.001,-0.002,-0.0003
1728258300000,600,430,351.6667,345.3333,399.5833,39.5349,70.6161,73.7452,50.1564,-12.8625,-0.5565,-0.0021,-0.0023,-0.0021,-0.0019,-0.0004
1728258600000,237,418.5,365.6667,320.3333,380.6667,-43.3692,-35.1869,-26.0146,-37.7408,-11.9378,-27.7095,0.0021,-0.0009,-0.0014,-0.0005,-0.0002
