symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MESH5,-2,0,0.25,3412749555,3412749588,1,6146.00,6145.25,$(3.75),02/17/2025 11:40:36,02/17/2025 11:57:00,16min 23sec
MESH5,-2,0,0.25,3412749607,3412749628,1,6140.75,6138.75,$(10.00),02/18/2025 11:10:17,02/18/2025 11:14:29,4min 12sec
MESH5,-2,0,0.25,3412749651,3412749696,1,6152.00,6150.50,$(7.50),02/19/2025 12:03:10,02/19/2025 12:11:19,8min 9sec
MESH5,-2,0,0.25,3412749751,3412749792,1,6147.25,6142.50,$(23.75),02/19/2025 12:22:20,02/19/2025 12:31:10,8min 50sec
MESH5,-2,0,0.25,3412749807,3412750046,1,6144.50,6149.00,$22.50,02/19/2025 12:35:41,02/19/2025 13:00:13,24min 31sec
MESH5,-2,0,0.25,3412750062,3412750283,1,6121.75,6132.25,$52.50,02/20/2025 14:37:21,02/20/2025 14:50:42,13min 21sec
