Strategy report
Symbol: /ES:XCME
Work Time: 9/16/24, 3:05 PM - 9/20/24, 8:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
27;DATA(SellClose);Sell to Close;-1;-50.0;$5,699.25;9/16/24, 4:10 PM;$50.00;$1,287.50;-50.0;
28;DATA(1,726,527,900,000|59.2593|-6.1728|0|0|70|-1.5|-2.5|0.75|1,145|1,005.3311|-18.3265|-5.5814|20.243|50.511|-68.75|-3|in|in|in|in|in|in);Buy to Open;1;50.0;$5,698.25;9/16/24, 4:10 PM;;$1,187.50;0.0;
29;DATA(SellClose);Sell to Close;-1;-50.0;$5,698.00;9/16/24, 4:15 PM;$125.00;$1,212.50;-50.0;
30;DATA(1,726,528,200,000|29.6296|-23.4568|0|0|332|-2.5|-3.75|-1.5|1,150|4,428.4241|-85.2442|2.2472|20.4538|42.3566|-86.3636|-5.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,695.50;9/16/24, 4:15 PM;;$1,312.50;0.0;
31;DATA(SellClose);Sell to Close;-1;-50.0;$5,698.00;9/16/24, 4:20 PM;$100.00;$1,337.50;-50.0;
32;DATA(1,726,528,500,000|48.1481|2.4691|0|0|138|-1.75|-1.75|-2.25|1,155|1,981.4522|-15.0425|-0.7371|20.647|48.0724|-63.6364|-5.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,696.00;9/16/24, 4:20 PM;;$1,412.50;0.0;
33;DATA(SellClose);Sell to Close;-1;-50.0;$5,697.75;9/16/24, 4:25 PM;$87.50;$1,387.50;-50.0;
34;DATA(1,726,528,800,000|48.1481|6.1728|0|0|310|-0.5|-2.25|-2.75|1,160|4,184.4327|-4.9094|-2.2089|20.8241|48.0724|-61.9048|-7.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,696.00;9/16/24, 4:25 PM;;$1,500.00;0.0;
35;DATA(SellClose);Sell to Close;-1;-50.0;$5,699.50;9/16/24, 4:30 PM;$100.00;$1,625.00;-50.0;
36;DATA(1,726,529,100,000|59.2593|7.4074|0|0|220|2|-0.5|-0.5|1,165|3,003.4759|29.2237|1.0886|19.1587|51.5059|-47.619|-4.75|in|in|in|in|in|dn);Buy to Open;1;50.0;$5,697.50;9/16/24, 4:30 PM;;$1,600.00;0.0;
37;DATA(SellClose);Sell to Close;-1;-50.0;$5,699.00;9/16/24, 4:35 PM;$112.50;$1,700.00;-50.0;
38;DATA(1,726,529,400,000|27.2727|-17.6207|0|0|176|-0.5|-2.25|-2.75|1,170|2,414.4459|-10.7406|1.9415|18.1855|45.9783|-71.4286|-6|in|in|in|in|in|in);Buy to Open;1;50.0;$5,696.75;9/16/24, 4:35 PM;;$1,712.50;0.0;
39;DATA(SellClose);Sell to Close;-1;-50.0;$5,697.25;9/16/24, 4:40 PM;$50.00;$1,725.00;-50.0;
40;DATA(1,726,529,700,000|27.2727|-10.6622|0|0|94|-0.5|-1|-3.75|1,175|1,265.1086|-2.9238|-4.9217|17.7297|45.9783|-71.4286|-4.25|in|in|in|in|in|dn);Buy to Open;1;50.0;$5,696.25;9/16/24, 4:40 PM;;$1,762.50;0.0;
41;DATA(SellClose);Sell to Close;-1;-50.0;$5,697.75;9/16/24, 4:45 PM;$62.50;$1,800.00;-50.0;
42;DATA(1,726,530,000,000|27.2727|0|0|0|132|-1.25|0.75|-3|1,180|2,108.1602|4.3582|-3.216|16.7656|45.9783|-70|-1.5|in|in|in|in|in|dn);Buy to Open;1;50.0;$5,696.50;9/16/24, 4:45 PM;;$1,825.00;0.0;
43;DATA(SellClose);Sell to Close;-1;-50.0;$5,697.50;9/16/24, 4:50 PM;$50.00;$1,850.00;-50.0;
44;DATA(1,726,530,300,000|27.2727|0|0|0|174|0|-0.5|-2.25|1,185|2,688.1854|11.5671|-4.5109|15.8819|45.9783|-70|-0.25|in|in|in|in|in|dn);Buy to Open;1;50.0;$5,696.50;9/16/24, 4:50 PM;;$1,875.00;0.0;
45;DATA(SellClose);Sell to Close;-1;-50.0;$5,697.75;9/16/24, 4:55 PM;$50.00;$1,950.00;-50.0;
46;DATA(1,726,530,600,000|28.5714|0.8658|0|0|221|0.25|-0.5|-2.75|1,190|3,712.714|16.2537|-4.4642|14.7759|45.9783|-68.4211|-0.25|in|in|in|in|in|dn);Buy to Open;1;50.0;$5,696.75;9/16/24, 4:55 PM;;$1,925.00;0.0;
47;DATA(SellClose);Sell to Close;-1;-50.0;$5,697.00;9/16/24, 5:00 PM;$75.00;$1,937.50;-50.0;
48;DATA(1,726,530,900,000|14.2857|-9.0909|0|0|176|-0.75|-2|-2.5|1,195|3,090.3931|-18.8999|-1.1299|15.0143|41.8179|-84.2105|-1.75|in|in|in|in|in|dn);Buy to Open;1;50.0;$5,695.50;9/16/24, 5:00 PM;;$2,000.00;0.0;
49;DATA(SellClose);Sell to Close;-1;-50.0;$5,698.25;9/16/24, 5:05 PM;$150.00;$2,112.50;-50.0;
50;DATA(1,726,531,200,000|27.2727|3.8961|0|0|602|-0.5|-0.25|-2.5|1,200|7,352.8265|17.8841|8.6386|13.8205|45.4104|-64.7059|0.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,695.25;9/16/24, 5:05 PM;;$2,150.00;0.0;
51;DATA(SellClose);Sell to Close;-1;-50.0;$5,697.00;9/16/24, 5:10 PM;$75.00;$2,212.50;-50.0;
52;DATA(1,726,531,500,000|13.6364|-4.7619|0|1|189|-0.75|-0.75|-2|1,205|2,161.5817|-30.7142|0.0133|12.7262|41.2433|-82.3529|1.25|in|in|in|in|in|in);Buy to Open;1;50.0;$5,695.50;9/16/24, 5:10 PM;;$2,225.00;0.0;
53;DATA(SellClose);Sell to Close;-1;-50.0;$5,696.25;9/16/24, 5:15 PM;$75.00;$2,225.00;-50.0;
54;DATA(1,726,531,800,000|17.3913|-2.0422|0|1|359|-0.5|-1.25|-0.5|1,210|3,564.0819|-38.9001|0.7786|12.4951|39.9115|-78.9474|2.5|in|in|in|dn|in|in);Buy to Open;1;50.0;$5,694.75;9/16/24, 5:15 PM;;$2,300.00;0.0;
55;DATA(SellClose);Sell to Close;-1;-50.0;$5,696.50;9/16/24, 5:20 PM;$75.00;$2,337.50;-50.0;
56;DATA(1,726,532,100,000|26.087|7.0487|0|0|301|-0.5|-1|-1.25|1,215|2,783.037|7.029|0.379|11.9826|43.8663|-68.4211|1|in|in|in|dn|in|dn);Buy to Open;1;50.0;$5,695.00;9/16/24, 5:20 PM;;$2,375.00;0.0;
57;DATA(SellClose);Sell to Close;-1;-50.0;$5,696.50;9/16/24, 5:25 PM;$50.00;$2,475.00;-50.0;
58;DATA(1,726,532,400,000|18.1818|-2.3715|0|0|206|-0.25|-1|-1.75|1,220|1,920.0998|-17.4453|-3.8077|11.5128|40.9277|-78.9474|1.25|in|in|in|in|in|dn);Buy to Open;1;50.0;$5,695.50;9/16/24, 5:25 PM;;$2,425.00;0.0;
59;DATA(SellClose);Sell to Close;-1;-50.0;$5,696.25;9/16/24, 5:30 PM;$87.50;$2,512.50;-50.0;
