FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,vpm5,vpm10,vpm15,vpm30,vpm60,ToD,DoW,MO,Dr3_Model,Dr3,Dc1,Dc3,Dr1,Mc1,Mc3,Mr1,Mr3
1728511500000,0.0043,-0.0129,-0.0071,0.0036,-0.0004,0.0343,-0.03,-0.0214,0.0079,-0.0089,60.8696,3.6036,4.5388,5.3732,442.0,635.5,805.0,989.5,1783.75,-30.4485,-45.0932,-55.331,-75.2207,0.0006,-0.0012,-0.0005,0.0002,-0.0,1085.0,4.0,0.0,7.1005015,2.0,dn,up,0.0,nm,nm,0.0,0.5802
1728511800000,0.0,0.0021,-0.0086,0.0029,0.0007,-0.0043,0.015,-0.0229,0.0043,-0.0064,60.8696,3.4535,3.8112,-0.7275,316.0,379.0,529.0,878.3333,1426.5,-16.6227,-40.2647,-64.0228,-77.8479,0.0,0.0003,-0.0009,0.0002,0.0,1090.0,4.0,0.0,5.8369656,2.75,up,up,1.0,nm,mv,0.9733,0.8042
1728512100000,0.0171,0.0086,0.0071,0.0043,0.0057,0.0171,0.0214,0.0057,-0.0029,0.0082,78.2609,5.8559,3.0883,-0.7229,364.0,340.0,374.0,754.8333,1117.75,7.0588,-2.6738,-51.7774,-67.4346,0.0027,0.0015,0.0011,0.0003,0.0003,1095.0,4.0,0.0,6.2098756,1.75,up,up,1.0,nm,nm,0.9342,0.5099
1728512400000,0.0171,0.0171,0.0114,0.0021,0.0068,-0.0,0.015,0.0186,-0.0093,0.0114,77.7778,8.033,1.3942,-1.6941,577.0,470.5,419.0,612.0,1017.75,22.6355,37.7088,-5.719,-43.3063,0.0017,0.0021,0.0016,0.0002,0.0004,1100.0,4.0,0.0,3.7006922,1.25,up,up,0.75,nm,nm,0.814,0.3824
1728512700000,0.0128,0.015,0.0157,0.0036,0.0075,-0.0043,0.0064,0.0243,-0.0079,0.0125,88.8889,9.1592,5.591,4.1968,171.0,374.0,370.6667,449.8333,883.3333,-54.2781,-53.8669,-61.9859,-80.6415,0.0044,0.0023,0.0025,0.0005,0.0005,1105.0,4.0,0.0,4.946085,0.75,dn,up,0.0,nm,nm,0.0,0.2285
1728513000000,0.0,0.0064,0.01,0.0086,0.0082,-0.0128,-0.0107,0.0029,0.0007,0.0221,88.0,7.4324,5.6348,0.0438,163.0,167.0,303.6667,338.8333,775.5,-2.3952,-46.3227,-51.8938,-78.9813,0.0,0.0022,0.0019,0.0015,0.0006,1110.0,4.0,0.0,4.6234293,0.0,up,dn,0.5,nm,nm,1.1547,0.0
1728513300000,0.0086,0.0043,0.0071,0.0093,0.0064,0.0086,-0.0107,-0.0043,0.0057,0.0161,95.4545,7.8829,6.674,1.0392,120.0,141.5,151.3333,285.1667,637.3333,-15.1943,-20.7048,-57.9193,-81.1715,0.0042,0.0018,0.0028,0.0019,0.0006,1115.0,4.0,0.0,4.0906816,-0.25,up,dn,0.25,nm,nm,0.597,0.1076
1728513600000,0.0043,0.0064,0.0043,0.01,0.0064,-0.0043,-0.0,-0.0114,0.0071,0.0111,91.6667,7.4324,5.9023,-0.7717,292.0,206.0,191.6667,281.1667,579.75,41.7476,52.3478,3.853,-49.6335,0.0009,0.0018,0.0013,0.0021,0.0006,1120.0,4.0,0.0,6.2015142,-0.5,dn,dn,-0.75,nm,nm,2.0125,0.2612
1728513900000,-0.0128,-0.0043,0.0,0.005,0.0046,-0.0171,-0.0086,-0.01,0.0007,0.0118,73.6842,3.7538,7.7251,1.8228,236.0,264.0,216.0,259.8333,507.3333,-10.6061,9.2593,-9.1725,-53.4823,-0.0032,-0.0009,0.0,0.0011,0.0005,1125.0,4.0,0.0,5.1027718,1.0,up,up,0.25,nm,nm,0.4411,0.6036
1728514200000,0.0043,-0.0043,-0.0014,0.0029,0.0025,0.0171,-0.0107,-0.0086,0.0007,0.015,78.9474,4.1291,5.19,-2.5351,164.0,200.0,230.6667,191.0,401.5,-18.0,-28.9017,-14.1361,-59.1532,0.0015,-0.0013,-0.0004,0.0009,0.0004,1130.0,4.0,0.0,4.318917,0.75,dn,up,0.0,nm,nm,0.0,0.5292
1728514500000,0.0,0.0021,-0.0029,0.0007,0.0021,-0.0043,0.0064,-0.0071,-0.0029,0.0068,78.9474,3.6787,7.2217,2.0317,204.0,184.0,201.3333,196.5,323.1667,10.8696,1.3245,3.8168,-36.8747,0.0,0.0007,-0.0008,0.0002,0.0004,1135.0,4.0,0.0,3.7573466,1.75,up,up,0.75,nm,nm,1.908,1.3625
1728514800000,0.0128,0.0064,0.0057,0.0029,0.0057,0.0128,0.0107,0.0057,-0.0057,0.0068,85.7143,5.1802,2.5918,-4.6299,339.0,271.5,235.6667,225.8333,282.3333,24.8619,43.8472,50.1107,20.0708,0.0022,0.0014,0.0014,0.0007,0.0012,1140.0,4.0,0.0,4.3876305,1.25,dn,up,0.0,nm,nm,0.0,0.9891
1728515100000,0.0,0.0064,0.0043,0.0014,0.0054,-0.0128,0.0043,0.0057,-0.0079,0.0057,85.0,4.0541,7.4856,4.8938,140.0,239.5,227.6667,229.1667,257.1667,-41.5449,-38.5066,-38.9091,-45.5606,0.0,0.0016,0.0011,0.0004,0.0012,1145.0,4.0,0.0,3.8735628,-1.0,up,dn,1.0,nm,nm,2.2283,0.7943
1728515400000,0.0171,0.0086,0.01,0.0036,0.0068,0.0171,0.0021,0.0128,-0.0064,0.0061,95.2381,6.2312,5.6004,-1.8852,239.0,189.5,239.3333,220.3333,250.75,26.1214,-0.1393,8.472,-4.6859,0.0042,0.0026,0.0024,0.0009,0.0016,1150.0,4.0,0.0,5.9679985,-2.25,up,dn,0.25,nm,mv,0.4411,1.7769
1728515700000,0.0043,0.0107,0.0071,0.0064,0.0057,-0.0128,0.0043,0.0014,0.0014,-0.0,88.8889,5.9309,7.4774,1.877,154.0,196.5,177.6667,206.6667,233.25,-21.6285,-13.3208,-25.4839,-33.9764,0.0016,0.0032,0.0023,0.0018,0.0014,1155.0,4.0,0.0,6.2494454,-2.5,dn,dn,-2.25,mv,mv,6.0,2.0597
1728516000000,-0.0385,-0.0171,-0.0057,-0.0007,0.0011,-0.0428,-0.0257,-0.01,-0.0036,-0.0057,26.6667,-2.4024,-4.4852,-11.9626,415.0,284.5,269.3333,248.5,219.75,45.8699,54.0842,67.002,88.851,-0.0054,-0.0035,-0.0012,-0.0002,0.0003,1160.0,4.0,0.0,4.163082,-0.75,dn,dn,-0.25,nm,nm,0.237,0.6134
1728516300000,-0.0043,-0.0214,-0.0128,-0.0014,-0.0004,0.0342,-0.0321,-0.0228,-0.0021,-0.0079,7.6923,-3.2282,5.767,10.2522,84.0,249.5,217.6667,228.5,212.5,-66.3327,-61.4089,-63.2385,-60.4706,-0.003,-0.005,-0.0034,-0.0004,-0.0001,1165.0,4.0,0.0,-0.53082526,2.0,dn,up,0.0,nm,mv,0.0,1.5192
1728516600000,0.0,-0.0021,-0.0143,-0.0036,-0.0004,0.0043,0.015,-0.0214,-0.0064,-0.0086,14.2857,-3.1532,2.9224,-2.8446,218.0,151.0,239.0,208.3333,217.0833,44.3709,-8.7866,4.64,0.4223,0.0,-0.0008,-0.0035,-0.001,-0.0001,1170.0,4.0,0.0,2.5733914,1.25,dn,up,-0.5,nm,nm,0.5031,0.8448
1728516900000,-0.0086,-0.0043,-0.0043,-0.005,-0.0018,-0.0086,0.0171,0.0014,-0.0064,-0.0082,17.6471,-4.5796,-1.1484,-4.0708,212.0,215.0,171.3333,220.3333,224.75,-1.3953,23.7354,-3.7821,-5.673,-0.0024,-0.0012,-0.0015,-0.0013,-0.0005,1175.0,4.0,0.0,-0.4004453,1.25,up,up,2.5,mv,nm,2.5153,0.8592
1728517200000,0.0428,0.0171,0.0114,-0.0007,0.0014,0.0514,0.0193,0.0243,-0.0043,-0.005,76.4706,4.1291,-5.6106,-4.4621,441.0,326.5,290.3333,254.0,237.1667,35.0689,51.8944,73.622,85.9452,0.0057,0.0031,0.0023,-0.0002,0.0004,1180.0,4.0,0.0,1.2003258,-0.75,dn,dn,-0.75,nm,nm,0.5376,0.5236
1728517500000,-0.0128,0.015,0.0071,-0.0036,0.0014,-0.0557,0.0193,0.0214,-0.01,-0.0032,58.8235,1.1261,-1.7168,3.8938,346.0,393.5,333.0,286.0,246.3333,-12.0712,3.9039,20.979,40.4601,-0.0022,0.0022,0.0013,-0.0007,0.0003,1185.0,4.0,0.0,1.2019771,-1.5,dn,dn,-0.5,nm,nm,0.3546,1.0472
1728517800000,-0.0086,-0.0107,0.0071,0.0014,0.0004,0.0043,-0.0278,0.0114,0.0021,-0.0021,47.0588,-6.3789,3.6624,5.3792,197.0,271.5,328.0,249.6667,249.0833,-27.4401,-39.939,-21.0948,-20.91,-0.0025,-0.0023,0.0013,0.0003,0.0001,1190.0,4.0,0.0,2.8942575,-0.75,up,dn,0.5,nm,nm,0.4523,0.536
1728518100000,0.0086,0.0,-0.0043,0.0036,0.0011,0.0171,-0.015,-0.0157,0.005,-0.0011,58.8235,-3.9496,3.6624,0.0,222.0,209.5,255.0,272.6667,250.5833,5.9666,-12.9412,-18.5819,-11.4067,0.0023,0.0,-0.001,0.0008,0.0002,1195.0,4.0,0.0,2.115621,-0.75,dn,dn,-1.5,mv,nm,1.3597,0.5728
1728518400000,-0.0257,-0.0086,-0.0086,-0.0007,-0.0021,-0.0343,0.0021,-0.0157,0.0029,-0.0079,23.5294,-9.4472,-3.4266,-7.0891,562.0,392.0,327.0,330.0,269.1667,43.3673,71.8654,70.303,108.7926,-0.0027,-0.0013,-0.0015,-0.0001,-0.0005,1200.0,4.0,0.0,-0.11917176,1.25,up,up,0.25,nm,nm,0.1956,0.9484
1728518700000,0.0043,-0.0107,-0.0043,0.0014,-0.0018,0.03,-0.0107,-0.0114,0.0064,-0.0071,29.4118,-7.4267,-0.8964,2.5302,393.0,477.5,392.3333,360.1667,290.25,-17.6963,0.1699,9.1161,35.4005,0.0006,-0.0013,-0.0006,0.0002,-0.0004,1205.0,4.0,0.0,-1.7599715,0.25,up,up,0.5,nm,nm,0.3956,0.1923
1728519000000,0.0086,0.0064,-0.0043,-0.0043,-0.0025,0.0043,0.015,-0.0,-0.0036,-0.0093,41.1765,-4.2001,-0.5581,0.3383,315.0,354.0,423.3333,339.1667,296.5833,-11.0169,-25.5906,-7.1253,6.2096,0.0016,0.0011,-0.0006,-0.0007,-0.0005,1210.0,4.0,0.0,-2.870873,1.0,up,up,0.5,nm,nm,0.6794,0.7712
1728519300000,0.0086,0.0086,0.0071,-0.0007,-0.0021,-0.0,0.0193,0.0157,0.0029,-0.0079,52.9412,-1.0796,-0.2602,0.298,383.0,349.0,363.6667,345.3333,315.6667,9.7421,5.3162,10.9073,21.3305,0.0013,0.0014,0.0011,-0.0001,-0.0004,1215.0,4.0,0.0,-1.6854411,0.25,dn,up,-0.75,nm,nm,1.011,0.1875
1728519600000,-0.0128,-0.0021,0.0014,-0.0014,0.0,-0.0214,-0.0086,0.0057,-0.0029,-0.0011,35.2941,-8.5337,1.0149,1.2751,290.0,336.5,329.3333,360.8333,305.25,-13.8187,-11.9433,-19.6305,-4.9959,-0.0026,-0.0004,0.0003,-0.0002,0.0,1220.0,4.0,0.0,-1.5525702,1.25,up,up,1.25,mv,nm,1.6175,0.9375
1728519900000,0.0214,0.0043,0.0057,0.0007,0.0021,0.0343,-0.0043,0.01,-0.0029,0.0025,64.7059,-1.9771,-5.1309,-6.1459,380.0,335.0,351.0,387.1667,329.9167,13.4328,8.2621,-1.8511,15.1806,0.0033,0.0007,0.0009,0.0001,0.0004,1225.0,4.0,0.0,-1.2169638,0.0,dn,dn,-0.25,nm,nm,0.2759,0.0
1728520200000,-0.0043,0.0086,0.0014,0.0043,0.0018,-0.0257,0.0107,-0.0057,0.005,0.0021,58.8235,-2.7251,4.9078,10.0387,205.0,292.5,291.6667,327.6667,328.8333,-29.9145,-29.7143,-37.4364,-37.6584,-0.0012,0.0017,0.0003,0.0008,0.0003,1230.0,4.0,0.0,-0.009601861,1.75,up,up,0.25,nm,mv,0.3974,1.317
1728520500000,0.0043,0.0,0.0071,0.0043,0.0029,0.0086,-0.0043,0.0057,0.0029,0.0046,62.5,-1.257,3.314,-1.5938,364.0,284.5,316.3333,322.8333,341.5,27.9438,15.0685,12.7517,6.5886,0.0007,0.0,0.0013,0.0008,0.0005,1235.0,4.0,0.0,1.386043,1.25,dn,up,0.0,nm,nm,0.0,0.927
1728520800000,0.0,0.0021,0.0,0.0029,-0.0007,-0.0043,-0.0064,-0.0057,0.0071,-0.0021,62.5,-0.2726,3.033,-0.281,278.0,321.0,282.3333,316.6667,327.9167,-13.3956,-1.5348,-12.2105,-15.2224,0.0,0.0004,0.0,0.0005,-0.0001,1240.0,4.0,0.0,0.7839096,0.5,up,up,1.5,mv,nm,2.4054,0.389
1728521100000,0.0257,0.0128,0.01,0.0057,0.0025,0.0257,0.0128,0.0086,0.0064,0.0011,88.8889,7.2766,-5.3062,-8.3392,457.0,367.5,366.3333,329.0,337.1667,24.3537,24.7498,38.9058,35.5413,0.0033,0.002,0.0016,0.001,0.0004,1245.0,4.0,0.0,2.3552985,-0.75,dn,dn,-0.25,nm,nm,0.3128,0.5692
1728521400000,-0.0043,0.0107,0.0071,0.0071,0.0029,-0.03,0.0086,-0.0,0.0086,0.0025,83.3333,5.6249,2.2857,7.592,365.0,411.0,366.6667,341.5,351.1667,-11.1922,-0.4545,6.8814,3.9393,-0.0007,0.0015,0.0011,0.0012,0.0005,1250.0,4.0,0.0,4.3178215,0.75,dn,up,-0.75,nm,nm,1.0681,0.5667
1728521700000,-0.0128,-0.0086,0.0029,0.0014,0.0011,-0.0086,-0.0214,0.0029,0.0007,-0.0,66.6667,1.9939,-1.0316,-3.3174,262.0,313.5,361.3333,321.8333,354.5,-16.4274,-27.4908,-18.5914,-26.0931,-0.0029,-0.0016,0.0005,0.0003,0.0002,1255.0,4.0,0.0,3.3315973,0.0,up,dn,0.25,nm,nm,0.356,0.0
1728522000000,0.0043,-0.0043,-0.0043,0.0029,0.0036,0.0171,-0.015,-0.0143,-0.0014,0.0057,72.2222,2.6548,1.3036,2.3353,385.0,323.5,337.3333,351.8333,339.75,19.0108,14.1304,9.4268,13.3186,0.0006,-0.0008,-0.0007,0.0005,0.0006,1260.0,4.0,0.0,4.652356,-0.5,up,dn,1.25,mv,nm,1.819,0.4895
1728522300000,0.0214,0.0128,0.0043,0.0057,0.005,0.0171,0.0214,-0.0029,0.0014,0.0068,81.8182,5.475,-4.0095,-5.3131,735.0,560.0,460.6667,413.6667,368.25,31.25,59.5514,77.6793,99.5927,0.0017,0.0013,0.0005,0.0008,0.0008,1265.0,4.0,0.0,5.75043,-1.5,dn,dn,-1.5,mv,mv,1.8766,1.5199
1728522600000,-0.0257,-0.0021,0.0,0.0014,0.0021,-0.0471,0.0021,-0.0029,-0.0014,0.0046,54.5455,-5.0731,-2.0375,1.9719,533.0,634.0,551.0,456.1667,386.4167,-15.9306,-3.2668,16.8433,37.934,-0.0028,-0.0002,0.0,0.0002,0.0003,1270.0,4.0,0.0,4.254647,0.0,dn,dn,-0.25,nm,nm,0.2364,0.0
1728522900000,-0.0043,-0.015,-0.0029,-0.0036,0.0011,0.0214,-0.0278,0.0014,-0.0093,0.0032,50.0,-11.6975,2.2933,4.3308,690.0,611.5,652.6667,495.0,412.0,12.8373,5.7201,39.3939,67.4757,-0.0004,-0.0014,-0.0003,-0.0004,0.0002,1275.0,4.0,0.0,3.897418,-0.25,up,dn,0.25,nm,nm,0.2952,0.275
1728523200000,0.0043,0.0,-0.0086,-0.0021,0.0025,0.0086,0.0021,-0.0128,-0.0093,0.0025,54.5455,-9.7427,1.0734,-1.2199,420.0,555.0,547.6667,504.1667,422.8333,-24.3243,-23.311,-16.6942,-0.6701,0.0006,0.0,-0.0009,-0.0002,0.0003,1280.0,4.0,0.0,0.13951504,-0.5,dn,dn,0.0,nm,nm,0.0,0.522
1728523500000,0.0,0.0021,0.0,0.0,0.0007,-0.0043,0.0171,0.0,-0.0014,-0.0014,33.3333,-8.9403,4.0691,2.9957,301.0,360.5,470.3333,510.6667,416.25,-16.5049,-36.0028,-41.0574,-27.6877,0.0,0.0003,0.0,0.0,0.0001,1285.0,4.0,0.0,-0.9927381,-0.25,dn,dn,-0.5,nm,nm,0.6124,0.267
1728523800000,-0.0086,-0.0043,-0.0014,-0.0021,0.0004,-0.0086,-0.0043,0.0014,-0.005,-0.0014,20.0,-11.2962,-2.6463,-6.7153,510.0,405.5,410.3333,531.5,441.6667,25.7707,24.2892,-4.0452,15.4717,-0.001,-0.0006,-0.0002,-0.0002,0.0,1290.0,4.0,0.0,-0.21411324,0.75,dn,up,0.0,nm,mv,0.0,0.8773
1728524100000,0.0,-0.0043,-0.0029,-0.0057,0.0,0.0086,-0.0064,0.0057,-0.0114,-0.0029,20.0,-10.216,1.9457,4.592,388.0,449.0,399.6667,473.6667,443.6667,-13.5857,-2.9191,-18.0859,-12.547,0.0,-0.0006,-0.0004,-0.0007,0.0,1295.0,4.0,0.0,-1.6775897,0.0,up,dn,0.25,nm,nm,0.4376,0.0
1728524400000,0.0043,0.0021,-0.0014,-0.0007,0.0004,0.0043,0.0064,-0.0014,-0.0021,0.0011,26.6667,-7.608,-2.9147,-4.8604,507.0,447.5,468.3333,469.3333,462.75,13.2961,8.2562,8.0256,9.5624,0.0005,0.0003,-0.0002,-0.0001,0.0,1300.0,4.0,0.0,-0.66059685,0.5,up,up,0.5,nm,nm,1.8741,0.6124
1728524700000,0.0086,0.0064,0.0043,0.0014,-0.0011,0.0043,0.0107,0.0057,0.005,-0.0036,40.0,-2.9938,3.2213,6.1359,440.0,473.5,445.0,427.6667,461.3333,-7.075,-1.1236,2.8839,-4.6243,0.0011,0.0008,0.0006,0.0002,-0.0001,1305.0,4.0,0.0,-1.2246171,0.0,dn,dn,-0.75,mv,nm,2.4054,0.0
1728525000000,-0.0128,-0.0021,0.0,-0.0014,-0.0018,-0.0214,-0.0043,0.0029,0.0007,-0.0046,20.0,-3.9868,6.3811,3.1598,239.0,339.5,395.3333,397.5,450.8333,-29.6024,-39.5447,-39.8742,-46.9871,-0.0031,-0.0004,0.0,-0.0002,-0.0002,1310.0,4.0,0.0,-2.2662196,0.0,up,dn,0.75,mv,nm,1.765,0.0
1728525300000,0.0128,0.0,0.0029,0.0007,0.0004,0.0257,-0.0064,0.0043,0.0007,-0.0007,40.0,20.8581,0.1517,-6.2294,370.0,304.5,349.6667,409.0,459.8333,21.5107,5.8151,-9.5355,-19.5361,0.002,0.0,0.0005,0.0001,0.0,1315.0,4.0,0.0,1.7688441,-1.5,dn,dn,0.0,nm,mv,0.0,1.9432
1728525600000,0.0,0.0064,0.0,0.0021,0.0,-0.0128,0.0086,-0.0043,0.0043,-0.0036,40.0,19.866,4.1413,3.9896,287.0,328.5,298.6667,371.8333,451.6667,-12.6332,-3.9063,-22.8149,-36.4576,0.0,0.0011,0.0,0.0003,0.0,1320.0,4.0,0.0,3.875184,-1.25,dn,dn,-0.75,mv,mv,1.5848,1.6175
1728525900000,-0.0128,-0.0064,0.0,0.0,-0.0029,-0.0128,-0.0064,0.0,0.0057,-0.0078,23.0769,12.6266,2.2929,-1.8484,343.0,315.0,333.3333,364.3333,419.0,8.8889,2.9,-5.8554,-18.1384,-0.0022,-0.0012,0.0,0.0,-0.0004,1325.0,4.0,0.0,6.0351353,-0.5,dn,dn,-0.75,mv,nm,1.299,0.6876
1728526200000,-0.0128,-0.0128,-0.0086,-0.0029,-0.0018,-0.0,-0.0193,-0.0114,-0.0021,-0.0039,13.3333,5.0783,-1.6378,-3.9308,433.0,388.0,354.3333,352.0,410.6667,11.5979,22.2013,23.0114,5.4383,-0.0017,-0.0019,-0.0014,-0.0005,-0.0003,1330.0,4.0,0.0,7.945653,0.75,up,up,0.25,nm,mv,0.4009,0.9211
1728526500000,0.0043,-0.0043,-0.0071,-0.0036,-0.0011,0.0171,0.0021,-0.0071,-0.005,-0.0021,25.0,6.2093,-2.071,-0.4331,368.0,400.5,381.3333,340.0,383.8333,-8.1149,-3.4965,8.2353,-4.1251,0.0007,-0.0006,-0.0011,-0.0006,-0.0002,1335.0,4.0,0.0,6.021006,2.0,dn,up,0.0,nm,mv,0.0,2.681
1728526800000,0.0,0.0021,-0.0029,-0.0014,-0.0014,-0.0043,0.015,-0.0029,-0.0,-0.0039,25.0,4.3529,1.6995,3.7705,341.0,354.5,380.6667,357.0,377.25,-3.8082,-10.4203,-4.4818,-9.609,0.0,0.0004,-0.0004,-0.0002,-0.0002,1340.0,4.0,0.0,3.2680755,2.75,up,up,0.5,mv,mv,0.937,4.125
1728527100000,0.0086,0.0043,0.0043,-0.0021,-0.0007,0.0086,0.0086,0.0128,-0.0029,-0.0014,37.5,7.7811,4.0583,2.3589,213.0,277.0,307.3333,330.8333,369.9167,-23.1047,-30.6941,-35.6171,-42.4195,0.0023,0.0009,0.0008,-0.0004,-0.0001,1345.0,4.0,0.0,2.4571671,2.0,up,up,1.5,mv,mv,3.1696,2.9218
1728527400000,0.0257,0.0171,0.0114,0.0021,0.0021,0.0171,0.015,0.0186,-0.0,0.0018,75.0,18.7802,-1.3856,-5.4439,394.0,303.5,316.0,348.6667,360.25,29.8188,24.6835,13.0019,9.3685,0.0038,0.0033,0.0021,0.0004,0.0003,1350.0,4.0,0.0,6.460058,0.5,up,up,0.75,mv,nm,0.9691,0.5941
1728527700000,0.0128,0.0193,0.0157,0.0064,0.0032,-0.0128,0.015,0.0186,0.0064,0.0032,88.2353,22.3592,3.0245,4.4101,608.0,501.0,405.0,392.8333,378.5833,21.3573,50.1235,54.773,60.5987,0.0012,0.0022,0.0023,0.001,0.0005,1355.0,4.0,0.0,11.132286,0.75,dn,up,-0.25,nm,mv,0.3631,0.714
1728528000000,-0.0043,0.0043,0.0114,0.0079,0.0025,-0.0171,-0.0128,0.0071,0.0107,0.0021,82.3529,16.4796,6.2081,3.1836,393.0,500.5,465.0,386.1667,369.0833,-21.4785,-15.4839,1.7695,6.48,-0.0006,0.0005,0.0014,0.0012,0.0004,1360.0,4.0,0.0,11.874294,0.5,dn,up,0.0,nm,nm,0.0,0.4373
1728528300000,0.0,-0.0021,0.0029,0.0071,0.0018,0.0043,-0.0214,-0.0086,0.0107,0.0029,82.3529,12.0127,7.8145,1.6065,207.0,300.0,402.6667,359.3333,349.6667,-31.0,-48.5927,-42.3933,-40.8008,0.0,-0.0004,0.0004,0.0012,0.0003,1365.0,4.0,0.0,9.007237,1.25,up,up,1.0,mv,mv,1.6971,1.1012
1728528600000,0.0171,0.0086,0.0043,0.01,0.0043,0.0171,0.0043,-0.0114,0.0114,0.0061,100.0,20.9686,6.7293,-1.0852,312.0,259.5,304.0,354.5,355.75,20.2312,2.6316,-11.9887,-12.298,0.0032,0.0019,0.0008,0.0016,0.0007,1370.0,4.0,0.0,10.9398365,0.25,dn,up,-0.5,mv,nm,0.8485,0.2351
1728528900000,-0.0086,0.0043,0.0029,0.0071,0.0025,-0.0257,0.0064,-0.0086,0.0093,0.0021,80.0,8.0718,7.0006,0.2713,433.0,372.5,317.3333,391.1667,361.0,16.2416,36.4496,10.6945,19.9446,-0.0012,0.0007,0.0005,0.0011,0.0004,1375.0,4.0,0.0,10.205132,0.75,up,up,0.75,mv,mv,1.0462,0.7068
1728529200000,0.0128,0.0021,0.0071,0.005,0.0036,0.0214,-0.0064,0.0043,0.0029,0.0036,95.0,15.6295,7.0006,0.0,306.0,369.5,350.3333,376.5,362.5833,-17.1854,-12.6546,-18.7251,-15.6056,0.0025,0.0003,0.0012,0.0008,0.0006,1380.0,4.0,0.0,7.8076816,-0.75,dn,dn,0.0,nm,mv,0.0,0.7011
1728529500000,0.0,0.0064,0.0014,0.0029,0.0046,-0.0128,0.0021,-0.0029,-0.0036,0.0075,90.4762,10.7233,7.1001,0.0996,300.0,303.0,346.3333,325.1667,359.0,-0.9901,-13.3782,-7.7396,-16.4345,0.0,0.0012,0.0002,0.0005,0.0008,1385.0,4.0,0.0,8.606598,-1.25,dn,dn,0.0,nm,mv,0.0,1.1938
1728529800000,0.0,0.0,0.0043,0.0036,0.0057,0.0,-0.0021,0.0014,-0.0043,0.0075,90.4762,8.0785,9.3999,2.2997,279.0,289.5,295.0,306.1667,346.1667,-3.6269,-5.4237,-8.8732,-19.403,0.0,0.0,0.0008,0.0007,0.001,1390.0,4.0,0.0,7.98343,-1.25,dn,dn,-0.75,mv,mv,1.4746,1.2092
1728530100000,-0.0128,-0.0064,-0.0043,0.0014,0.0043,-0.0128,-0.0128,-0.0114,-0.0057,0.0054,72.2222,-5.4246,2.4822,-6.9177,313.0,296.0,297.3333,323.8333,341.5833,5.7432,5.2691,-3.3453,-8.3679,-0.0024,-0.0013,-0.0008,0.0003,0.0007,1395.0,4.0,0.0,7.1813607,-1.25,dn,dn,-0.5,mv,mv,0.8018,1.1658
1728530400000,-0.0086,-0.0107,-0.0071,-0.0029,0.0036,0.0043,-0.0107,-0.0086,-0.0128,0.005,61.1111,-14.4311,6.2616,3.7794,248.0,280.5,280.0,313.1667,333.8333,-11.5865,-11.4286,-20.8089,-25.7114,-0.002,-0.0022,-0.0015,-0.0005,0.0006,1400.0,4.0,0.0,3.8991747,-0.5,dn,dn,0.0,nm,nm,0.0,0.4396
1728530700000,0.0,-0.0043,-0.0071,-0.0014,0.0029,0.0086,0.0021,-0.0114,-0.0086,0.0036,53.3333,-14.6265,5.257,-1.0046,227.0,237.5,262.6667,278.8333,335.0,-4.4211,-13.5787,-18.5894,-32.2388,0.0,-0.0011,-0.0016,-0.0003,0.0005,1405.0,4.0,0.0,1.4857991,0.5,dn,up,-0.75,mv,nm,1.591,0.4182
1728531000000,-0.0128,-0.0064,-0.0071,-0.0057,-0.0004,-0.0128,0.0043,-0.0029,-0.0107,-0.0025,16.6667,-24.2419,-3.2556,-8.5126,407.0,317.0,294.0,295.6667,336.0833,28.3912,38.4354,37.655,21.1009,-0.0018,-0.0012,-0.0014,-0.0011,-0.0001,1410.0,4.0,0.0,-2.081439,1.75,up,up,0.25,nm,mv,0.7276,1.4055
1728531300000,0.0043,-0.0043,-0.0029,-0.005,-0.0011,0.0171,-0.0,0.0043,-0.0078,-0.0043,25.0,-18.2055,1.4806,4.7363,401.0,404.0,345.0,312.5,318.8333,-0.7426,16.2319,28.32,25.771,0.0006,-0.0006,-0.0005,-0.0009,-0.0002,1415.0,4.0,0.0,-2.0153446,1.5,up,up,1.0,mv,mv,2.544,1.1952
1728531600000,0.0171,0.0107,0.0029,-0.0021,0.0007,0.0128,0.0171,0.01,-0.0057,-0.0018,58.3333,-2.1443,3.8623,2.3817,197.0,299.0,335.0,298.8333,302.5,-34.1137,-41.194,-34.077,-34.876,0.0051,0.0021,0.0005,-0.0004,0.0001,1420.0,4.0,0.0,-2.5064068,0.5,up,up,0.5,mv,nm,0.8,0.4209
1728531900000,0.0086,0.0128,0.01,0.0014,0.0014,-0.0086,0.0171,0.0171,-0.0,-0.0004,75.0,5.4343,1.9028,-1.9595,165.0,181.0,254.3333,274.1667,299.0,-8.8398,-35.1245,-39.8176,-44.8161,0.003,0.0041,0.0023,0.0003,0.0003,1425.0,4.0,0.0,-0.28437454,0.25,dn,up,0.0,nm,nm,0.0,0.2136
