FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,vpm5,vpm10,vpm15,vpm30,vpm60,ToD,DoW,MO,Dr3_Model,Dr3,Dc1,Dc3,Dr1,Mc1,Mc3,Mr1,Mr3
1728257100000,0.0086,-0.0172,-0.0158,-0.0014,-0.0047,0.0517,-0.0151,-0.0287,0.0065,-0.0169,31.8182,-1.9231,3.9921,6.8632,334.0,360.5,329.0,443.1667,537.5,-7.3509,1.5198,-24.6333,-37.8605,0.0015,-0.0028,-0.0028,-0.0002,-0.0005,1165.0,1.0,0.0,1.9340953,-0.75,up,dn,0.25,nm,nm,0.1539,0.1621
1728257400000,0.0043,0.0065,-0.01,-0.0086,0.0018,-0.0043,0.0344,-0.0029,-0.0208,-0.0061,38.0952,-1.5779,2.9079,-1.0842,296.0,315.0,339.0,338.8333,439.3333,-6.0317,-12.6844,-12.6414,-32.6252,0.0008,0.0012,-0.0017,-0.0015,0.0002,1170.0,1.0,0.0,4.770917,-2.25,dn,dn,-0.25,nm,mv,0.2335,0.5322
1728257700000,-0.0043,0.0,0.0029,-0.0065,-0.0007,-0.0086,0.0172,0.0187,-0.0115,-0.0108,30.0,-2.3191,2.8977,-0.0102,195.0,245.5,275.0,289.3333,395.25,-20.5703,-29.0909,-32.6037,-50.6641,-0.0013,0.0,0.0006,-0.0013,-0.0001,1175.0,1.0,0.0,4.967909,-1.5,dn,dn,-0.75,nm,nm,0.7154,0.4297
1728258000000,-0.0129,-0.0086,-0.0043,-0.01,-0.0022,-0.0086,-0.0151,0.0115,-0.0158,-0.0147,15.0,-3.8254,2.8977,0.0,260.0,227.5,250.3333,289.6667,382.25,14.2857,3.8615,-10.2417,-31.9817,-0.0029,-0.0022,-0.001,-0.002,-0.0003,1180.0,1.0,0.0,4.2922454,-1.5,dn,dn,-1.25,nm,nm,1.2815,0.7311
1728258300000,-0.0215,-0.0172,-0.0129,-0.0115,-0.0029,-0.0086,-0.0172,-0.0029,-0.0172,-0.0162,12.0,-6.4451,-1.4299,-4.3277,600.0,430.0,351.6667,345.3333,399.5833,39.5349,70.6161,73.7452,50.1564,-0.0021,-0.0023,-0.0021,-0.0019,-0.0004,1185.0,1.0,0.0,3.6506605,-2.0,up,dn,0.5,nm,nm,0.4966,1.0149
1728258600000,0.0086,-0.0065,-0.0086,-0.0029,-0.0011,0.0302,0.0022,-0.0115,-0.0036,-0.0122,20.0,-5.0461,3.1391,4.569,237.0,418.5,365.6667,320.3333,380.6667,-43.3692,-35.1869,-26.0146,-37.7408,0.0021,-0.0009,-0.0014,-0.0005,-0.0002,1190.0,1.0,0.0,3.7490897,-5.0,dn,dn,-0.75,nm,mv,1.143,2.5304
1728258900000,-0.0129,-0.0022,-0.0086,-0.0065,-0.0039,-0.0215,0.0151,-0.0043,-0.005,-0.0172,8.0,-6.2969,0.4602,-2.6788,486.0,361.5,441.0,345.6667,394.4167,34.4398,10.2041,40.5979,23.2199,-0.0015,-0.0003,-0.0011,-0.0011,-0.0006,1195.0,1.0,0.0,3.1163597,-5.5,dn,dn,-1.75,mv,mv,2.8778,2.7794
1728259200000,-0.0302,-0.0215,-0.0115,-0.0122,-0.0104,-0.0172,-0.0151,0.0014,-0.0036,-0.0144,14.2857,-9.0886,-6.767,-7.2272,1604.0,1045.0,775.6667,563.6667,451.25,53.4928,106.7899,184.5653,255.4571,-0.0011,-0.0012,-0.0009,-0.0013,-0.0013,1200.0,1.0,0.0,2.2293587,-3.5,dn,dn,-2.5,mv,mv,3.5052,1.8989
1728259500000,-0.0431,-0.0366,-0.0287,-0.0187,-0.0126,-0.0129,-0.0345,-0.0201,-0.0122,-0.0126,4.878,-13.3987,-2.0501,4.7169,1322.0,1463.0,1137.3333,751.5,520.4167,-9.6377,16.2368,75.9148,154.0272,-0.0019,-0.0015,-0.0015,-0.0014,-0.0014,1205.0,1.0,0.0,1.8894187,-1.75,dn,dn,-1.25,nm,nm,1.3416,0.8339
1728259800000,-0.0216,-0.0323,-0.0316,-0.0201,-0.0151,0.0215,-0.0108,-0.023,-0.0101,-0.0144,2.3256,-14.3073,0.6048,2.655,823.0,1072.5,1249.6667,845.3333,567.5,-23.2634,-34.1424,-2.642,45.022,-0.0015,-0.0017,-0.0015,-0.0014,-0.0015,1210.0,1.0,0.0,0.517527,-0.5,up,dn,0.25,nm,nm,0.2716,0.2147
