FT,ToD,DoW,DIR,MOVE
810,3,1,dn,nm
815,3,1,dn,mv
820,3,1,dn,mv
825,3,1,up,mv
830,3,1,up,nm
835,3,1,dn,nm
840,3,1,up,mv
845,3,1,up,nm
850,3,1,dn,mv
855,3,1,dn,mv
860,3,1,up,mv
865,3,1,dn,nm
870,3,1,dn,mv
875,3,1,dn,nm
880,3,1,up,mv
885,3,1,dn,nm
890,3,1,up,nm
895,3,1,dn,mv
900,3,1,up,nm
905,3,1,dn,mv
910,3,1,up,mv
915,3,1,dn,mv
920,3,1,up,mv
925,3,1,up,nm
930,3,1,dn,mv
935,3,1,up,mv
940,3,1,dn,mv
945,3,0,dn,mv
950,3,0,dn,mv
955,3,0,up,mv
960,3,0,dn,nm
965,3,0,dn,nm
970,3,0,dn,mv
975,3,0,dn,mv
980,3,0,dn,nm
985,3,0,dn,nm
990,3,0,up,mv
995,3,0,up,mv
1000,3,0,dn,mv
1005,3,0,dn,nm
1010,3,0,dn,mv
1015,3,0,up,nm
1080,4,0,up,nm
1085,4,0,dn,nm
1090,4,0,dn,nm
1095,4,0,dn,mv
1100,4,0,dn,mv
1105,4,0,dn,mv
1110,4,0,dn,mv
1115,4,0,dn,nm
1120,4,0,dn,nm
1125,4,0,dn,nm
1130,4,0,up,nm
1135,4,0,up,nm
1140,4,0,dn,nm
1145,4,0,dn,nm
1150,4,0,up,nm
1155,4,0,up,mv
1160,4,0,dn,mv
1165,4,0,dn,nm
1170,4,0,up,nm
1175,4,0,dn,nm
1180,4,0,up,nm
1185,4,0,up,nm
1190,4,0,up,nm
1195,4,0,up,nm
1200,4,0,dn,nm
1205,4,0,up,nm
1210,4,0,up,nm
1215,4,0,dn,nm
1220,4,0,up,mv
1225,4,0,dn,mv
1230,4,0,dn,nm
1235,4,0,dn,nm
1240,4,0,dn,nm
1245,4,0,up,nm
1250,4,0,dn,nm
1255,4,0,dn,mv
1260,4,0,up,nm
1265,4,0,dn,nm
1270,4,0,up,mv
1275,4,0,dn,nm
1280,4,0,dn,mv
1285,4,0,dn,nm
1290,4,0,up,nm
1295,4,0,up,mv
1300,4,0,dn,nm
1305,4,0,up,mv
1310,4,0,dn,nm
1315,4,0,dn,nm
1320,4,0,dn,nm
1325,4,0,up,mv
1330,4,0,dn,nm
1335,4,0,dn,mv
1340,4,0,dn,nm
1345,4,0,up,mv
1350,4,0,dn,mv
1355,4,0,dn,mv
1360,4,0,dn,nm
1365,4,0,dn,nm
