fullK,fullD,diffKD,overBought,overSold,Volume,15mSD,30mSD
90.7216,94.8346,-4.113,1,0,1105,0.6769,0.6274
98.1481,95.259,2.8891,1,0,2727,-0.2248,-0.9201
95.283,94.7176,0.5654,1,0,1341,-0.1691,-0.8039
92.4528,95.2947,-2.8418,1,0,1601,0,-0.2
94.1748,93.9702,0.2046,1,0,902,-0.7737,-0.0997
92.233,92.9535,-0.7205,1,0,891,-0.7014,-0.1992
91.3978,92.6019,-1.204,1,0,1283,-0.2141,-0.1996
76.4706,86.7005,-10.2299,0,0,3113,0.6426,0.2005
71.2329,79.7004,-8.4676,0,0,2548,0.4821,0.8046
75.5102,74.4046,1.1056,0,0,1695,0,0.352
83.6735,76.8055,6.868,0,0,1633,-0.4289,0.5531
72.549,77.2442,-4.6952,0,0,2927,0.3795,0.9041
72.549,76.2572,-3.7081,0,0,1649,0.381,1.1539
64.7059,69.9346,-5.2288,0,0,1782,1.0308,0.906
85.7143,74.3231,11.3912,0,0,1347,0.5969,-0.552
78.7879,76.4027,2.3852,0,0,1098,0.8669,-0.6468
97.1429,87.215,9.9278,1,0,1541,-0.0539,-0.4941
90.2439,88.7249,1.519,1,0,1891,-1.1497,0.0992
97.6744,95.0204,2.654,1,0,2520,-1.5709,0.0498
76.7442,88.2208,-11.4766,0,0,3936,-0.5611,1.2909
34.8837,69.7674,-34.8837,0,0,4465,1.6946,2.4152
30.2326,47.2868,-17.0543,0,0,4060,2.0148,2.1764
55.814,40.3101,15.5039,0,0,2812,2.2151,1.506
90.6977,58.9147,31.7829,0,0,1834,1.6877,0.5183
97.7273,81.413,16.3143,1,0,1580,1.0321,0.2358
98.3333,95.5861,2.7472,1,0,4139,-0.1957,-1.0149
95.1613,97.074,-1.9127,1,0,2687,-1.0025,-1.0388
84.2105,92.5684,-8.3579,1,0,1676,-0.7235,-0.7594
78.5714,85.9811,-7.4097,0,0,694,-1.2158,-0.5758
67.8571,76.8797,-9.0226,0,0,923,-0.5099,-0.353
64.2857,70.2381,-5.9524,0,0,1341,-0.3837,-0.4014
43.6364,58.5931,-14.9567,0,0,1503,0.3842,0.8507
52.7273,53.5498,-0.8225,0,0,819,0,0.5834
52.7273,49.697,3.0303,0,0,1041,-0.192,0.3141
54.5455,53.3333,1.2121,0,0,1025,0.8407,-0.445
52.7273,53.3333,-0.6061,0,0,1149,0.8504,0.1333
47.2727,51.5152,-4.2424,0,0,1749,0.6552,0.2666
78.1818,59.3939,18.7879,0,0,1558,-1.4429,-0.0443
